,상호,휘발유,상표,셀프여부,주소,시
1877,장안주유소,1715,현대오일뱅크,Y,경기 수원시 장안구 서부로 2282,수원시
1878,북수원주유소,1715,현대오일뱅크,Y,경기 수원시 장안구 서부로 2201 (율전동),수원시
1879,행복주유소,1718,S-OIL,N,경기 수원시 권선구 수인로 379 (구운동),수원시
1880,경원주유소,1718,SK에너지,N,경기 수원시 권선구 권광로 80 (권선동),수원시
1881,현대오일뱅크㈜직영 동수원현대셀프주유소,1718,현대오일뱅크,Y,경기 수원시 영통구 중부대로 277 (원천동),수원시
1882,현대오일뱅크㈜직영 호수공원셀프주유소,1724,현대오일뱅크,Y,경기 수원시 영통구 광교호수로 124,수원시
1883,오목천주유소,1725,현대오일뱅크,N,경기 수원시 권선구 오목천로 40 (오목천동),수원시
1884,주식회사 노송유업,1725,SK에너지,Y,경기 수원시 장안구 서부로 2359 (이목동),수원시
1885,드림에너지(주)배트맨주유소,1725,현대오일뱅크,Y,경기 수원시 장안구 경수대로 818,수원시
1886,현대석유(주)서광주유소,1725,GS칼텍스,Y,경기 수원시 장안구 서부로 2370 (이목동),수원시
1887,세일석유㈜ 구도일주유소 광교신도시,1725,S-OIL,Y,경기 수원시 영통구 광교호수로 328-142,수원시
1888,효현(주) 아주주유소,1725,GS칼텍스,Y,경기 수원시 팔달구 월드컵로 246 (우만동),수원시
1889,서수원주유소,1728,현대오일뱅크,N,경기 수원시 권선구 효행로 50,수원시
1890,영화셀프주유소,1728,SK에너지,Y,경기 수원시 장안구 수성로290번길 3 (영화동),수원시
1891,대성산업(주)수원주유소,1728,GS칼텍스,Y,경기 수원시 장안구 경수대로 868 (조원동),수원시
1892,경진셀프주유소,1728,SK에너지,Y,경기 수원시 장안구 경수대로 1059,수원시
1893,골든벨주유소,1728,S-OIL,Y,경기 수원시 권선구 서부로 1650 (고색동),수원시
1894,청호셀프주유소,1728,SK에너지,Y,경기 수원시 권선구 수인로 57,수원시
1895,대원주유소,1728,S-OIL,N,경기 수원시 장안구 경수대로 772 (영화동),수원시
1896,동일석유(주) 금호주유소,1728,SK에너지,N,경기 수원시 장안구 경수대로 852 (조원동),수원시
1897,명품주유소,1732,알뜰주유소,Y,경기 수원시 권선구 권선로 651 (권선동),수원시
1898,수원고속주유소,1733,SK에너지,Y,경기 수원시 영통구 중부대로 384,수원시
1899,(주)어울림주유소,1733,SK에너지,Y,경기 수원시 권선구 매송고색로 498,수원시
1900,도이치에너지,1733,현대오일뱅크,Y,경기 수원시 권선구 권선로 334 (고색동),수원시
1901,대신자연에너지,1733,SK에너지,Y,경기 수원시 영통구 권선로 927,수원시
1902,하이웨이주유소,1734,GS칼텍스,Y,경기 수원시 권선구 매송고색로 513 (오목천동),수원시
1903,지에스칼텍스(주)경향주유소,1734,GS칼텍스,Y,경기 수원시 권선구 매송고색로 827 (평동),수원시
1904,(주)디오티디 수원햄스터주유소,1734,SK에너지,Y,경기 수원시 권선구 매송고색로 810,수원시
1905,뉴금강주유소,1734,현대오일뱅크,Y,경기 수원시 권선구 매송고색로 577,수원시
1906,(주)디오티디 수원몬스터 주유소,1734,현대오일뱅크,Y,경기 수원시 권선구  매송고색로 789 (고색동),수원시
1907,오션주유소,1734,SK에너지,Y,경기 수원시 권선구 매송고색로 843 (평동),수원시
1908,수안주유소,1735,GS칼텍스,Y,경기 수원시 장안구 경수대로 1246 (파장동),수원시
1909,푸른현대주유소,1735,S-OIL,Y,경기 수원시 팔달구 팔달로 137 (화서동),수원시
1910,팔달주유소,1735,SK에너지,Y,경기 수원시 팔달구 중부대로 64,수원시
1911,구도일삼익씨앤에스유통(주),1735,S-OIL,Y,경기도 수원시 장안구  경수대로 1104 (파장동),수원시
1912,C＆S유통(주)구도일주유소일류,1735,S-OIL,N,경기 수원시 장안구 경수대로 1029 (파장동),수원시
1913,케이아이에스정보통신 주식회사 장안공원 주유소,1735,S-OIL,Y,경기 수원시 장안구 팔달로 227 (영화동),수원시
1914,법원주유소,1738,SK에너지,N,"경기 수원시 영통구 중부대로 309,  (원천동)",수원시
1915,희망주유소,1738,S-OIL,Y,경기 수원시 권선구 서수원로63번길 171 (오목천동),수원시
1916,덕원주유소,1738,GS칼텍스,Y,경기 수원시 권선구 권선로 258 (고색동),수원시
1917,(주)한미석유 진흥주유소,1738,GS칼텍스,Y,경기 수원시 권선구 수인로 173 (서둔동),수원시
1918,㈜거창에너지 권선제일주유소,1738,S-OIL,N,경기 수원시 권선구 경수대로 350 (권선동),수원시
1919,주식회사 청송유업,1738,SK에너지,Y,경기 수원시 권선구 권선로 331,수원시
1920,탑주유소,1738,SK에너지,Y,경기 수원시 권선구 서부로 1774,수원시
1921,현대오일뱅크㈜직영 천천현대셀프주유소,1744,현대오일뱅크,Y,경기 수원시 장안구 덕영대로 557,수원시
1922,현대오일뱅크㈜직영 송죽현대셀프주유소,1744,현대오일뱅크,Y,경기 수원시 장안구 경수대로 992 (송죽동),수원시
1923,효원주유소,1745,SK에너지,Y,경기 수원시 팔달구 효원로 181 (인계동),수원시
1924,구도일 새한주유소,1745,S-OIL,N,경기 수원시 장안구  서부로 2348 (이목동),수원시
1925,슈퍼맨주유소,1746,현대오일뱅크,N,경기 수원시 권선구 덕영대로 1139 (세류동),수원시
1926,삼미상사(주)권선로셀프주유소,1747,SK에너지,Y,경기 수원시 권선구 권선로 644,수원시
1927,수원주유소,1747,S-OIL,Y,경기 수원시 팔달구  인계로 76 (인계동),수원시
1928,용진에너지㈜직영 수원점,1747,S-OIL,N,경기 수원시 권선구 덕영대로 1136 (세류동),수원시
1929,청담에너지,1748,SK에너지,Y,경기 수원시 팔달구 인계로 58 (인계동),수원시
1930,수원역주유소,1748,GS칼텍스,Y,경기 수원시 권선구 덕영대로 1003 (세류동),수원시
1931,(주)미래석유 역전주유소,1748,GS칼텍스,Y,경기 수원시 권선구 덕영대로 1000 (세류동),수원시
1932,대왕주유소,1748,SK에너지,Y,경기 수원시 팔달구 경수대로 502 (인계동),수원시
1933,인계동주유소,1748,GS칼텍스,Y,경기 수원시 팔달구 인계로 139 (인계동),수원시
1934,SK에너지(주)직영 아이파크주유소,1748,SK에너지,N,경기 수원시 권선구 경수대로 229 (세류동),수원시
1935,SK에너지(주) SK드림주유소,1748,SK에너지,Y,경기 수원시 권선구 권선로 679 (권선동),수원시
1936,현대오일뱅크㈜직영 영통제일셀프주유소,1753,현대오일뱅크,Y,경기 수원시 영통구 영통로 317 (매탄동),수원시
1937,현대오일뱅크(주)직영 수원제일주유소,1753,현대오일뱅크,N,경기 수원시 팔달구 권광로 273,수원시
1938,지에스칼텍스(주)행정타운주유소,1754,GS칼텍스,Y,경기도 수원시 권선구 권선로 98,수원시
1939,평동그린주유소,1754,GS칼텍스,Y,경기 수원시 권선구 매송고색로 864 (평동),수원시
1940,만석주유소,1755,GS칼텍스,Y,경기 수원시 장안구 장안로 153,수원시
1941,참좋은주유소,1758,S-OIL,Y,경기 수원시 권선구 정조로 599 (세류동),수원시
1942,태양제2주유소,1758,현대오일뱅크,N,경기 수원시 장안구  경수대로 1011,수원시
1943,유신주유소,1760,S-OIL,Y,경기 수원시 영통구 영통로 299,수원시
1944,동신주유소,1765,현대오일뱅크,Y,경기 수원시 장안구 장안로 260 (정자동),수원시
1945,남부로주유소,1765,GS칼텍스,N,경기 수원시 권선구 덕영대로 1357 (권선동),수원시
1946,(주)청담금곡주유소,1768,SK에너지,Y,경기 수원시 권선구 금곡로212번길 26,수원시
1947,삼성주유소,1768,GS칼텍스,N,경기 수원시 영통구 매영로 248 (원천동),수원시
1948,서부주유소,1775,GS칼텍스,N,경기 수원시 팔달구 수성로 188 (화서동),수원시
1949,(주)한미석유 성광주유소,1775,GS칼텍스,Y,경기 수원시 영통구 창룡대로 243,수원시
1950,형제주유소,1778,S-OIL,N,경기 수원시 권선구 수인로 446 (입북동),수원시
1951,서수원주유소,1778,SK에너지,Y,경기 수원시 권선구 서부로 1963 (구운동),수원시
1952,SK호매실주유소,1778,SK에너지,Y,경기 수원시 권선구 서수원로 453,수원시
1953,인성주유소,1783,GS칼텍스,N,경기 수원시 권선구 권선로 541 (세류동),수원시
1954,BMW주유소,1785,GS칼텍스,N,경기 수원시 권선구 동수원로 258 (권선동),수원시
1955,경희주유소,1785,GS칼텍스,N,경기 수원시 영통구 덕영대로 1729 (영통동),수원시
1956,(주)한미석유 매탄동주유소,1785,GS칼텍스,Y,경기 수원시 영통구 동탄원천로 1015 (매탄동),수원시
1957,비행장주유소/충전소,1788,SK에너지,N,경기 수원시 권선구 정조로 291,수원시
1958,에이제이에너지(주)직영 정자주유소,1788,현대오일뱅크,Y,경기 수원시 장안구 정자천로 179,수원시
1959,2002주유소,1789,SK에너지,Y,경기 수원시 권선구 수인로 23 (서둔동),수원시
1960,지에스칼텍스(주)영통주유소,1792,GS칼텍스,Y,경기 수원시 영통구 청명로 107,수원시
1961,월드컵주유소,1795,SK에너지,Y,경기 수원시 영통구 광교로 66 (이의동),수원시
1962,(주)나눔에너지,1797,현대오일뱅크,Y,경기 수원시 영통구 영통로 171,수원시
1963,(주)남경석유 선화주유소,1799,S-OIL,Y,경기 수원시 권선구 매송고색로 552 (오목천동),수원시
