"20 ~ 24세","남자",119895,829,5183,12831,37786,58936,4241,89,119895,880,5529,12931,38158,57981,4254,162,127694,711,5331,13209,40299,64107,3944,93,127601,760,5708,13712,40091,63469,3797,64,137007,741,5899,14883,42786,68427,4180,91,137016,842,6375,15086,43101,67392,4137,83,141902,720,6130,15440,44535,70852,4090,135,141902,825,6674,15829,44605,69926,3917,126,146573,815,6556,16400,46550,72004,4139,109,146573,934,7198,16817,46628,70785,4094,117,148805,827,6728,16571,47985,72397,4161,136,148805,919,7311,17168,47713,71520,4060,114,147887,787,6639,16930,48585,71220,3600,126,147887,913,7287,17275,48623,70199,3473,117,152513,850,6901,17652,51233,72361,3406,110,152513,966,7664,18014,51411,71077,3268,113,238781,1674,11617,28758,85406,106447,4683,196,238781,2000,12729,29223,84621,105402,4608,198,220239,1648,11358,28112,81564,93485,3931,141,220239,1982,12520,28007,81071,92698,3794,167
"20 ~ 24세","여자",172911,2302,12024,25037,69505,61701,2253,89,172911,2410,12799,25065,69828,60467,2200,142,162155,1955,11154,23159,64872,59167,1774,74,162082,2128,11936,23298,64882,58072,1709,57,173507,2087,11916,25603,69285,62576,1969,71,173528,2234,12880,25419,69416,61737,1752,90,178255,1944,11958,25595,70709,66007,1943,99,178255,2261,12859,25643,70454,65156,1787,95,184580,2026,12157,26509,73781,68042,1974,91,184580,2393,13224,26629,73338,67088,1815,93,200059,2126,12756,28807,81424,72787,2065,94,200059,2542,13915,28846,81188,71577,1894,97,193039,1942,11765,28023,79736,69642,1841,90,193039,2422,13025,27602,79693,68618,1576,103,185360,1938,11175,26691,77161,66768,1531,96,185360,2423,12143,26745,77257,65336,1368,88,305531,3792,19256,45693,130084,104252,2318,136,305531,4951,21441,44898,129538,102489,2048,166,301798,4059,19940,45345,128915,101067,2329,143,301798,5385,21897,44365,127365,100582,2041,163
"25 ~ 29세","합계",959981,8902,45366,108219,352114,423486,21229,665,959981,9464,48138,109648,353875,417788,19889,1179,861295,6107,39781,97420,309415,391100,16989,483,860811,6485,42334,99305,312534,384189,15578,386,879214,6280,41744,101696,315920,396411,16697,466,879338,6921,44608,102560,318618,390684,15370,577,886824,5860,40196,99974,315428,408323,16462,581,886824,6607,43373,101481,317797,401727,15280,559,906928,6075,40875,102687,323037,417359,16396,499,906928,6835,44248,103911,324892,411288,15242,512,974937,6139,43500,109887,353078,444977,16744,612,974937,7025,47239,111639,355607,437042,15794,591,972343,5982,42409,110219,356305,441572,15294,562,972343,6913,46407,112022,358878,433373,14218,532,1008398,5983,42907,114124,373262,456885,14634,603,1008398,7027,47095,116612,375600,447748,13735,581,1144648,7386,49443,133634,434455,503061,16093,576,1144648,8918,55085,135090,435942,494098,14943,572,1085087,7134,47400,129807,422096,464282,13815,553,1085087,8756,52599,130185,422208,457674,13087,578
"25 ~ 29세","남자",538196,4187,18909,52310,181102,265832,15441,415,538196,4362,20489,53342,181209,263251,14767,776,480202,2294,16467,47137,158327,243463,12187,327,479875,2369,17735,48105,159736,240268,11416,246,489389,2261,17678,49348,161425,246402,11966,309,489427,2513,18969,50264,162540,243653,11147,341,493243,2171,17244,49223,161398,251023,11811,373,493243,2372,18874,50157,162625,247686,11169,360,501664,2269,17504,50432,163889,255555,11715,300,501664,2490,19123,51358,164443,252960,10967,323,511859,2081,17918,51062,168688,260083,11676,351,511859,2367,19675,52169,169727,256307,11269,345,522754,2138,18142,52213,174415,264687,10826,333,522754,2460,19914,53590,175926,260347,10223,294,550527,2204,18987,55723,187007,275795,10434,377,550527,2469,20935,57522,188634,270644,9988,335,607612,2686,21666,63319,211710,296477,11415,339,607612,3226,24277,64469,212278,292275,10754,333,569252,2524,20977,61957,205658,268268,9535,333,569252,3081,23259,62917,205929,264582,9153,331
"25 ~ 29세","여자",421785,4715,26457,55909,171012,157654,5788,250,421785,5102,27649,56306,172666,154537,5122,403,381093,3813,23314,50283,151088,147637,4802,156,380936,4116,24599,51200,152798,143921,4162,140,389825,4019,24066,52348,154495,150009,4731,157,389911,4408,25639,52296,156078,147031,4223,236,393581,3689,22952,50751,154030,157300,4651,208,393581,4235,24499,51324,155172,154041,4111,199,405264,3806,23371,52255,159148,161804,4681,199,405264,4345,25125,52553,160449,158328,4275,189,463078,4058,25582,58825,184390,184894,5068,261,463078,4658,27564,59470,185880,180735,4525,246,449589,3844,24267,58006,181890,176885,4468,229,449589,4453,26493,58432,182952,173026,3995,238,457871,3779,23920,58401,186255,181090,4200,226,457871,4558,26160,59090,186966,177104,3747,246,537036,4700,27777,70315,222745,206584,4678,237,537036,5692,30808,70621,223664,201823,4189,239,515835,4610,26423,67850,216438,196014,4280,220,515835,5675,29340,67268,216279,193092,3934,247
"30 ~ 34세","합계",1161993,9376,41304,112223,414523,556669,26867,1031,1161993,9702,43284,113778,415911,552228,25035,2055,1181671,6604,42513,116148,418425,572371,24648,962,1180695,6900,44770,118567,422519,565033,22097,809,1206141,6630,44353,122876,429435,578526,23471,850,1206389,7023,46820,124739,433649,571821,21268,1069,1232766,6344,43420,123349,437332,597782,23458,1081,1232766,6759,46186,124763,441017,591994,20979,1068,1271907,6781,45884,129730,454477,610519,23434,1082,1271907,7170,48995,131836,457427,604371,21107,1001,1203259,6029,42369,122089,433263,576970,21454,1085,1203259,6326,45178,124244,437480,569554,19502,975,1166903,5695,41368,120354,424302,555126,19171,887,1166903,6132,44242,121808,429779,546392,17695,855,1195162,5718,41600,122739,435434,570721,18052,898,1195162,6332,44411,124727,440229,562158,16450,855,1340518,7318,50072,145135,501026,616602,19529,836,1340518,8053,54124,146264,507165,606383,17730,799,1224234,6667,46343,135372,466119,551842,17113,778,1224234,7348,49739,136164,468759,545718,15794,712
"30 ~ 34세","남자",809839,6061,22539,68514,272255,417915,21853,702,809839,6273,23469,69528,272684,415653,20701,1531,791262,3362,22225,68518,263038,414235,19186,698,790552,3544,23465,69872,265146,410367,17525,633,828386,3440,24158,74909,278709,427872,18676,622,828498,3709,25581,76240,280492,424599,17158,719,818080,3194,22845,73191,274307,425797,18015,731,818080,3376,24325,74200,275941,423054,16465,719,807101,3181,22560,72414,271081,419442,17709,714,807101,3399,24150,74032,271345,417266,16265,644,769240,2831,20989,69277,259961,399106,16341,735,769240,2925,22716,70555,261942,395505,14967,630,731247,2633,20324,66966,248797,377631,14308,588,731247,2790,21828,67478,252160,373000,13428,563,765042,2735,21316,70470,263159,393061,13716,585,765042,2997,22839,71664,265676,388500,12809,557,779560,3031,22798,74517,273606,391191,13901,516,779560,3214,24781,75223,277122,385765,12939,516,721283,2851,21684,71254,260393,352340,12232,529,721283,3003,23249,72411,261745,348905,11506,464
"30 ~ 34세","여자",352154,3315,18765,43709,142268,138754,5014,329,352154,3429,19815,44250,143227,136575,4334,524,390409,3242,20288,47630,155387,158136,5462,264,390143,3356,21305,48695,157373,154666,4572,176,377755,3190,20195,47967,150726,150654,4795,228,377891,3314,21239,48499,153157,147222,4110,350,414686,3150,20575,50158,163025,171985,5443,350,414686,3383,21861,50563,165076,168940,4514,349,464806,3600,23324,57316,183396,191077,5725,368,464806,3771,24845,57804,186082,187105,4842,357,434019,3198,21380,52812,173302,177864,5113,350,434019,3401,22462,53689,175538,174049,4535,345,435656,3062,21044,53388,175505,177495,4863,299,435656,3342,22414,54330,177619,173392,4267,292,430120,2983,20284,52269,172275,177660,4336,313,430120,3335,21572,53063,174553,173658,3641,298,560958,4287,27274,70618,227420,225411,5628,320,560958,4839,29343,71041,230043,220618,4791,283,502951,3816,24659,64118,205726,199502,4881,249,502951,4345,26490,63753,207014,196813,4288,248
"35 ~ 39세","합계",1070355,7574,27656,86178,374665,545243,27791,1248,1070355,7715,28880,88341,374892,543252,24995,2280,1082964,5141,28169,88845,377767,556088,25939,1015,1081935,5154,29595,90345,380297,552853,22836,855,1020498,4549,26853,85893,356320,522748,23189,946,1020708,4531,28203,87750,358939,519635,20519,1131,1139037,4768,29282,95290,397669,586289,24433,1306,1139037,4820,30850,97382,400390,582828,21499,1268,1193888,5164,31601,102898,418759,609518,24668,1280,1193888,5234,33381,104336,421186,606797,21703,1251,1231963,4887,31456,105582,434276,630065,24314,1383,1231963,4920,33302,107641,438259,625072,21472,1297,1267513,4875,33681,112364,451608,641068,22600,1317,1267513,5089,35473,113803,457065,634447,20374,1262,1335464,5273,35334,119086,479738,672236,22472,1325,1335464,5335,37167,120899,485244,665382,20154,1283,1385778,6016,40205,131956,511613,672471,22372,1145,1385778,6164,42568,133254,517703,664926,20036,1127,1197704,5270,35821,117001,449684,570218,18752,958,1197704,5376,37023,117912,454401,565358,16728,906
"35 ~ 39세","남자",776755,5483,15571,54130,257450,420485,22701,935,776755,5510,16107,55101,256888,420716,20676,1757,751128,3072,15088,53128,246315,412319,20430,776,750342,3061,15702,53794,247196,411509,18402,678,732900,2762,14993,53915,241393,400411,18679,747,733002,2703,15781,54893,242376,399649,16786,814,777952,2712,15673,56680,255661,427414,18892,920,777952,2734,16351,57570,256524,427031,16864,878,805393,2813,16662,60387,265345,440334,18979,873,805393,2907,17452,61135,265696,440290,17032,881,856128,2831,17512,64878,284769,466208,18928,1002,856128,2854,18487,66083,286347,464398,17020,939,867071,2821,18540,68234,290878,468291,17376,931,867071,2893,19401,69192,293659,464990,16027,909,925705,3097,20040,74438,315835,493872,17450,973,925705,3073,21139,75234,318731,490743,15848,937,860785,2976,19617,72000,300357,449161,15873,801,860785,3021,20659,72485,303422,445749,14649,800,750986,2584,17649,65326,268138,383221,13415,653,750986,2622,18084,65852,270786,380692,12344,606
"35 ~ 39세","여자",293600,2091,12085,32048,117215,124758,5090,313,293600,2205,12773,33240,118004,122536,4319,523,331836,2069,13081,35717,131452,143769,5509,239,331593,2093,13893,36551,133101,141344,4434,177,287598,1787,11860,31978,114927,122337,4510,199,287706,1828,12422,32857,116563,119986,3733,317,361085,2056,13609,38610,142008,158875,5541,386,361085,2086,14499,39812,143866,155797,4635,390,388495,2351,14939,42511,153414,169184,5689,407,388495,2327,15929,43201,155490,166507,4671,370,375835,2056,13944,40704,149507,163857,5386,381,375835,2066,14815,41558,151912,160674,4452,358,400442,2054,15141,44130,160730,172777,5224,386,400442,2196,16072,44611,163406,169457,4347,353,409759,2176,15294,44648,163903,178364,5022,352,409759,2262,16028,45665,166513,174639,4306,346,524993,3040,20588,59956,211256,223310,6499,344,524993,3143,21909,60769,214281,219177,5387,327,446718,2686,18172,51675,181546,186997,5337,305,446718,2754,18939,52060,183615,184666,4384,300
