,상호,휘발유,상표,셀프여부,주소,시
2754,삼미상사(주) 화성로셀프주유소,1747,SK에너지,Y,경기 화성시 송산면 화성로 246,화성시
2755,㈜효창에너지직영3주유소,1747,SK에너지,Y,경기도 화성시 팔탄면 3.1만세로 784,화성시
2756,금호주유소,1748,GS칼텍스,N,경기 화성시 향남읍 은행나무로 561-4,화성시
2757,현대오일뱅크(주)직영 해오름주유소,1748,현대오일뱅크,N,경기 화성시 팔탄면 서해로 833,화성시
2758,거홍주유소 (주),1748,GS칼텍스,N,경기 화성시 양감면 은행나무로 389,화성시
2759,(주)서진주유소 화성지점 공단주유소,1748,SK에너지,Y,경기 화성시 정남면 발안로 1059,화성시
2760,흥아주유소,1749,SK에너지,Y,경기 화성시 향남읍 서해로 553,화성시
2761,지에스칼텍스㈜ 봉담신도시주유소,1750,GS칼텍스,Y,경기 화성시 봉담읍 동화역말길 63,화성시
2762,현대오일뱅크(주)직영 태안현대주유소,1754,현대오일뱅크,N,경기 화성시 효행로 568 (안녕동),화성시
2763,현대오일뱅크㈜직영 효행로셀프주유소,1754,현대오일뱅크,Y,경기 화성시 효행로 767 (안녕동),화성시
2764,현대오일뱅크㈜직영 봉담IC셀프주유소,1754,현대오일뱅크,Y,경기 화성시 봉담읍 삼천병마로 1346,화성시
2765,(주)지티이엔알 화성주유소,1754,S-OIL,N,경기 화성시 우정읍 포승향남로 1552,화성시
2766,혜성주유소,1755,S-OIL,N,경기 화성시 팔탄면 서해로 1271,화성시
2767,(주)뉴타운에너지 주유소,1755,SK에너지,Y,경기 화성시 경기대로 1106 (진안동),화성시
2768,(주)융건주유소,1755,S-OIL,N,경기 화성시 효행로481번길 14 (안녕동),화성시
2769,동탄예일주유소,1756,현대오일뱅크,N,경기 화성시 경기동로 211 (장지동),화성시
2770,(주)한국프리시전웍스 서진주유소,1757,GS칼텍스,Y,경기 화성시 팔탄면 삼천병마로 568,화성시
2771,기안셀프주유소,1758,SK에너지,Y,경기 화성시 서부로 1343,화성시
2772,융건릉주유소,1759,SK에너지,Y,경기 화성시 효행로 458 (안녕동),화성시
2773,매송주유소(목포방향),1759,알뜰(ex),Y,경기 화성시 매송면 서해안고속도로 315-1,화성시
2774,(주)드래곤에너지,1759,S-OIL,Y,경기 화성시 매송면 매송고색로 376,화성시
2775,자안주유소,1759,현대오일뱅크,N,경기 화성시 비봉면 푸른들판로 1116,화성시
2776,매송주유소(서울방향),1759,알뜰(ex),Y,경기 화성시 매송면 서해안고속도로 316-1,화성시
2777,구도일주유소 상리,1764,S-OIL,Y,경기 화성시 봉담읍 삼천병마로 1129-18,화성시
2778,(주)앨림하이오일주유소,1764,S-OIL,Y,경기 화성시 봉담읍 삼천병마로 1136,화성시
2779,(주)에너지 우리주유소,1764,GS칼텍스,Y,경기 화성시 봉담읍 삼천병마로 1133,화성시
2780,대명에너지2,1765,현대오일뱅크,Y,경기 화성시 정남면 만년로 778-5,화성시
2781,호성주유소,1765,SK에너지,N,경기 화성시 남양읍 무하로 124,화성시
2782,㈜서강산업주유소,1765,SK에너지,Y,경기 화성시 정남면 서봉로 1036,화성시
2783,GS 세마주유소,1765,GS칼텍스,Y,경기 화성시 만년로 889 (안녕동),화성시
2784,서봉주유소,1765,S-OIL,Y,경기 화성시 향남읍 서봉로 745,화성시
2785,가장공단주유소,1767,현대오일뱅크,N,경기 화성시 정남면 가장로 405,화성시
2786,비봉주유소,1767,GS칼텍스,N,경기 화성시 비봉면 푸른들판로 1672,화성시
2787,신남직영주유소,1767,현대오일뱅크,N,경기 화성시 남양읍 남양로 581,화성시
2788,화성크린주유소,1767,S-OIL,Y,경기 화성시 송산면 화성로 288,화성시
2789,한얼에너지,1768,GS칼텍스,N,경기 화성시 남양읍 화성로 1244,화성시
2790,(주)화성홈런주유소,1768,현대오일뱅크,Y,경기 화성시 정남면 서봉로 863,화성시
2791,휴게주유소,1768,GS칼텍스,N,경기 화성시 서신면 전곡항로 190,화성시
2792,지에스칼텍스(주) 동탄푸른숲주유소,1769,GS칼텍스,Y,경기 화성시 여울로 114,화성시
