"행정구역(시군구)별","연령별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별","연령별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국","21세",639208,341657,297551,701604,369385,332219,724415,383597,340818,709683,378727,330956,713497,380520,332977,707800,374833,332967,685001,360143,324858,670613,347471,323142,638851,333678,305173,618752,322378,296374,637555,332665,304890
"전국","22세",630058,330243,299815,638824,341243,297581,701573,369158,332415,724403,383419,340984,709734,378622,331112,713499,380414,333085,707489,374524,332965,684673,359874,324799,670285,347190,323095,638595,333474,305121,618217,322037,296180
"전국","23세",624560,328848,295712,629880,329846,300034,639047,341015,298032,701661,368938,332723,724581,383318,341263,709775,378415,331360,713246,380055,333191,707318,374244,333074,684354,359565,324789,670075,346974,323101,638093,333101,304992
"전국","24세",616427,318061,298366,624641,328437,296204,630294,329652,300642,639299,340816,298483,701903,368801,333102,724741,383083,341658,709736,378064,331672,713137,379675,333462,707120,373866,333254,684146,359244,324902,669509,346499,323010
"전국","25세",626728,327310,299418,616444,317594,298850,625006,328161,296845,630475,329438,301037,639594,340662,298932,702099,368532,333567,724578,382578,342000,709738,377654,332084,712882,379224,333658,706819,373415,333404,683379,358584,324795
"전국","26세",652349,337417,314932,626913,327028,299885,616877,317382,299495,625298,327971,297327,630813,329349,301464,640053,340479,299574,702166,368226,333940,724841,382348,342493,709730,377347,332383,712801,378962,333839,706235,372904,333331
"전국","27세",662028,340943,321085,652491,337140,315351,627363,326869,300494,617178,317204,299974,625667,327905,297762,631162,329194,301968,640303,340219,300084,702366,367967,334399,724896,382039,342857,709626,377056,332570,712085,378413,333672
"전국","28세",749595,384635,364960,662132,340709,321423,652794,336970,315824,627641,326721,300920,617519,317111,300408,626102,327754,298348,631234,328932,302302,640669,339982,300687,702371,367676,334695,724866,381773,343093,708889,376467,332422
"전국","29세",824401,421601,402800,749428,384332,365096,662287,340504,321783,652955,336772,316183,627872,326584,301288,617951,317029,300922,626259,327523,298736,631457,328716,302741,640832,339766,301066,702365,367425,334940,724013,381139,342874
"전국","30세",843356,432268,411088,824093,421280,402813,749526,384100,365426,662331,340305,322026,653196,336661,316535,628249,326503,301746,618127,316797,301330,626456,327317,299139,631550,328493,303057,640897,339535,301362,701535,366833,334702
"전국","31세",840585,429882,410703,842882,431902,410980,823955,420992,402963,749426,383816,365610,662511,340186,322325,653447,336508,316939,628300,326287,302013,618363,316628,301735,626485,327095,299390,631573,328291,303282,640224,338994,301230
"전국","32세",831265,420636,410629,839992,429446,410546,842670,431547,411123,823867,420713,403154,749469,383654,365815,662753,340059,322694,653497,336269,317228,628466,326081,302385,618427,316434,301993,626557,326911,299646,630872,327738,303134
