,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num,work_dt
0,20220301,1호선,서울역,20994,19468,20220304
1,20220301,1호선,시청,12439,12379,20220304
2,20220301,1호선,종각,15750,13544,20220304
3,20220301,1호선,종로3가,16349,14533,20220304
4,20220301,1호선,종로5가,14036,13472,20220304
5,20220301,1호선,동대문,8153,7978,20220304
6,20220301,1호선,신설동,6374,6211,20220304
7,20220301,1호선,제기동,10733,11414,20220304
8,20220301,1호선,청량리(서울시립대입구),13021,12958,20220304
9,20220301,1호선,동묘앞,7106,7394,20220304
10,20220301,2호선,시청,8191,6299,20220304
11,20220301,2호선,을지로입구,17384,16462,20220304
12,20220301,2호선,을지로3가,6862,6227,20220304
13,20220301,2호선,을지로4가,5373,5232,20220304
14,20220301,2호선,동대문역사문화공원(DDP),7724,8706,20220304
15,20220301,2호선,신당,8009,8495,20220304
16,20220301,2호선,상왕십리,6699,6675,20220304
17,20220301,2호선,왕십리(성동구청),8974,8081,20220304
18,20220301,2호선,한양대,2660,2904,20220304
19,20220301,2호선,뚝섬,8856,8889,20220304
20,20220301,2호선,성수,14137,15417,20220304
21,20220301,2호선,건대입구,24109,25303,20220304
22,20220301,2호선,구의(광진구청),11371,11439,20220304
23,20220301,2호선,강변(동서울터미널),15777,15029,20220304
24,20220301,2호선,잠실나루,4614,4734,20220304
25,20220301,2호선,잠실(송파구청),40025,37905,20220304
26,20220301,2호선,잠실새내,10338,10620,20220304
27,20220301,2호선,종합운동장,3133,3333,20220304
28,20220301,2호선,삼성(무역센터),17714,17036,20220304
29,20220301,2호선,선릉,13795,12306,20220304
30,20220301,2호선,역삼,11029,12373,20220304
31,20220301,2호선,강남,33706,32061,20220304
32,20220301,2호선,교대(법원.검찰청),10157,11250,20220304
33,20220301,2호선,서초,6189,5598,20220304
34,20220301,2호선,방배,5761,6245,20220304
35,20220301,2호선,사당,18745,20100,20220304
36,20220301,2호선,낙성대(강감찬),14235,14370,20220304
37,20220301,2호선,서울대입구(관악구청),25897,26254,20220304
38,20220301,2호선,봉천,11563,11318,20220304
39,20220301,2호선,신림,35239,34577,20220304
40,20220301,2호선,신대방,14340,14252,20220304
41,20220301,2호선,구로디지털단지,23568,23549,20220304
42,20220301,2호선,대림(구로구청),12844,13398,20220304
43,20220301,2호선,신도림,24306,24411,20220304
44,20220301,2호선,문래,7526,7972,20220304
45,20220301,2호선,영등포구청,8053,8192,20220304
46,20220301,2호선,당산,7707,8424,20220304
47,20220301,2호선,합정,18065,18905,20220304
48,20220301,2호선,홍대입구,42527,41933,20220304
49,20220301,2호선,신촌,23032,22803,20220304
50,20220301,2호선,이대,6952,7604,20220304
51,20220301,2호선,아현,5065,5031,20220304
52,20220301,2호선,충정로(경기대입구),3485,3565,20220304
53,20220301,2호선,용답,1747,1776,20220304
54,20220301,2호선,신답,690,766,20220304
55,20220301,2호선,신설동,1772,1801,20220304
56,20220301,2호선,도림천,540,558,20220304
57,20220301,2호선,양천구청,2910,2972,20220304
58,20220301,2호선,신정네거리,4689,4873,20220304
59,20220301,2호선,용두(동대문구청),1290,1237,20220304
60,20220301,3호선,지축,2155,2020,20220304
61,20220301,3호선,구파발,9962,10251,20220304
62,20220301,3호선,연신내,20147,19128,20220304
63,20220301,3호선,불광,8945,10133,20220304
64,20220301,3호선,녹번,6911,6395,20220304
65,20220301,3호선,홍제,8873,8640,20220304
66,20220301,3호선,무악재,1827,1922,20220304
67,20220301,3호선,독립문,4890,5393,20220304
68,20220301,3호선,경복궁(정부서울청사),11119,11966,20220304
69,20220301,3호선,안국,10504,11366,20220304
70,20220301,3호선,종로3가,4124,5498,20220304
71,20220301,3호선,을지로3가,3450,3227,20220304
72,20220301,3호선,동대입구,3941,4438,20220304
73,20220301,3호선,약수,5993,5842,20220304
74,20220301,3호선,금호,3957,3791,20220304
75,20220301,3호선,옥수,4455,4734,20220304
76,20220301,3호선,압구정,12541,13110,20220304
77,20220301,3호선,신사,12472,12698,20220304
78,20220301,3호선,잠원,1957,1905,20220304
79,20220301,3호선,고속터미널,30301,28148,20220304
80,20220301,3호선,교대(법원.검찰청),4175,2588,20220304
81,20220301,3호선,남부터미널(예술의전당),12136,12541,20220304
82,20220301,3호선,양재(서초구청),11963,13387,20220304
83,20220301,3호선,매봉,3875,3778,20220304
84,20220301,3호선,도곡,1819,1857,20220304
85,20220301,3호선,대치,5386,5100,20220304
86,20220301,3호선,학여울,715,748,20220304
87,20220301,3호선,대청,3992,3861,20220304
88,20220301,3호선,일원,2909,3033,20220304
89,20220301,3호선,수서,8241,7861,20220304
90,20220301,3호선,가락시장,3876,3854,20220304
91,20220301,3호선,경찰병원,2406,2467,20220304
92,20220301,3호선,오금,2205,2173,20220304
93,20220301,4호선,당고개,6728,6539,20220304
94,20220301,4호선,상계,9358,8985,20220304
95,20220301,4호선,노원,10844,11744,20220304
96,20220301,4호선,창동,14162,14880,20220304
97,20220301,4호선,쌍문,14984,13883,20220304
98,20220301,4호선,수유(강북구청),18824,18561,20220304
99,20220301,4호선,미아(서울사이버대학),7721,7379,20220304
100,20220301,4호선,미아사거리,15284,14890,20220304
101,20220301,4호선,길음,9563,9563,20220304
102,20220301,4호선,성신여대입구(돈암),11967,11534,20220304
103,20220301,4호선,한성대입구(삼선교),7170,7055,20220304
104,20220301,4호선,혜화,17618,17900,20220304
105,20220301,4호선,동대문,13621,14216,20220304
106,20220301,4호선,동대문역사문화공원(DDP),8617,7878,20220304
107,20220301,4호선,충무로,8403,8451,20220304
108,20220301,4호선,명동,10337,11167,20220304
109,20220301,4호선,회현(남대문시장),14260,15039,20220304
110,20220301,4호선,서울역,3553,6516,20220304
111,20220301,4호선,숙대입구(갈월),5927,5680,20220304
112,20220301,4호선,삼각지,2163,2786,20220304
113,20220301,4호선,신용산,7110,7414,20220304
114,20220301,4호선,이촌(국립중앙박물관),4311,4868,20220304
115,20220301,4호선,동작(현충원),885,1068,20220304
116,20220301,4호선,총신대입구(이수),9425,10326,20220304
117,20220301,4호선,사당,12251,11388,20220304
118,20220301,4호선,남태령,519,450,20220304
119,20220301,5호선,방화,3183,3113,20220304
120,20220301,5호선,개화산,2656,2692,20220304
121,20220301,5호선,김포공항,6565,5925,20220304
122,20220301,5호선,송정,3446,3460,20220304
123,20220301,5호선,마곡,3753,3787,20220304
124,20220301,5호선,발산,8799,9169,20220304
125,20220301,5호선,우장산,6277,6382,20220304
126,20220301,5호선,화곡,13860,13058,20220304
127,20220301,5호선,까치산,14930,14628,20220304
128,20220301,5호선,신정(은행정),6147,5535,20220304
129,20220301,5호선,목동,7385,7414,20220304
130,20220301,5호선,오목교(목동운동장앞),10953,11417,20220304
131,20220301,5호선,양평,2520,2516,20220304
132,20220301,5호선,영등포구청,1389,1385,20220304
133,20220301,5호선,영등포시장,4794,5093,20220304
134,20220301,5호선,신길,1866,2069,20220304
135,20220301,5호선,여의도,8852,8827,20220304
136,20220301,5호선,여의나루,6231,7713,20220304
137,20220301,5호선,마포,4935,4949,20220304
138,20220301,5호선,공덕,4381,4454,20220304
139,20220301,5호선,애오개,2316,2368,20220304
140,20220301,5호선,충정로(경기대입구),1281,1240,20220304
141,20220301,5호선,서대문,4587,4457,20220304
142,20220301,5호선,광화문(세종문화회관),17406,18804,20220304
143,20220301,5호선,종로3가,9349,8635,20220304
144,20220301,5호선,을지로4가,2597,2705,20220304
145,20220301,5호선,동대문역사문화공원(DDP),805,923,20220304
146,20220301,5호선,청구,1970,1828,20220304
147,20220301,5호선,신금호,2849,3083,20220304
148,20220301,5호선,행당,3661,3208,20220304
149,20220301,5호선,왕십리(성동구청),2470,2904,20220304
150,20220301,5호선,마장,2779,2634,20220304
151,20220301,5호선,답십리,7351,6933,20220304
152,20220301,5호선,장한평,8057,8120,20220304
153,20220301,5호선,군자(능동),5774,6492,20220304
154,20220301,5호선,아차산(어린이대공원후문),8536,8361,20220304
155,20220301,5호선,광나루(장신대),6154,6050,20220304
156,20220301,5호선,천호(풍납토성),11338,10716,20220304
157,20220301,5호선,강동,7976,7820,20220304
158,20220301,5호선,길동,4100,4225,20220304
159,20220301,5호선,굽은다리(강동구민회관앞),5248,5043,20220304
160,20220301,5호선,명일,4053,4011,20220304
161,20220301,5호선,고덕,3930,3995,20220304
