,title,link,description
0,사는 집이 <b>전세 사기</b> 같습니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=429318314&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=361&search_sort=0&spq=0,... 깡통전세나 <b>전세 사기</b>라면 지금부터 어떤 대응을 해야할까요? 집주인도 이상하고.. 얼른 이사 나가고 싶은 마음 뿐입니다...계약중간에 집을 빼고 싶은데 가능할까요? 계약중간에 집을 빼고 싶은데 가능할까요? &lt;답변&gt; 임대인이... 
1,<b>전세사기</b> 전세금이 제가 계약한 금액과 다른데 어떻게... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60206&docId=419986885&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=362&search_sort=0&spq=0,아는 지인을 믿고 1억 7천에 <b>전세</b> 계약을 하고(계약서는 2억에 70만) 3년 6개월 정도 살고 있는데 집주인분이 왔는데 (이중계약이더라구요) 본인은 5천에 150에 계약했다고 하시고 이번달 까지 빼달라도 하시는데 지인은 <b>사기</b>로... 
2,중기청 100% <b>전세</b>대출 계약 진행중입니다. <b>사기</b>일까요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=427432561&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=363&search_sort=0&spq=0,... 잔금일 당일 명의변경 등 수법으로 인한 <b>전세사기</b> 피해를 방지하고자 함입니다. 3. 매매 진행 중인데 집 매매 시 저에게 통보 및 계약서 사본 송달 등의 구두 약속을 받아 놓으면 법적인 효력이 있나요? 그냥 계약서 작성 후인데 구두로... 
3,<b>전세 사기</b>시 전세금 관련해서요.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=406195159&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=364&search_sort=0&spq=0,... 부동산에 대해 잘모르는데 순위가 낮은거같아서 혹시 <b>전세사기</b>를 당하면 전세금 다날릴거같아 불안해서 올립니다. 솔직한 답변부탁드려요. 일단 <b>전세사기</b>인지 아닌지는 전세계약서를 봐야 알 수 있습니다. 부동산등기와... 
4,ㅠㅠ <b>전세 사기</b> 관련된 유튜브가 많이,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60202&docId=427989944&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=365&search_sort=0&spq=0,ㅠㅠ <b>전세 사기</b> 관련된 유튜브가 많이 떠서 보다보면 저희집이랑 비슷해서요 ㅠㅠ 전세계약 11월 1일 집주인 바뀜 12월12일 잔금일 후 이사 당일 전입신고 12월31일 근저당 1월22일이 걸렸구요 소유권이 이전된다고 해서 다시 계약서는... 
5,계약사기 당했는데 <b>전세사기</b>변호사 유명한 분 성함... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=427946064&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=366&search_sort=0&spq=0,... 너무 불안해서 아래층 사람이랑 이야기해봤더니 지금 경매로 들어갔다고 그러더니 몰랐냐고 확정일자 받았냐고 물어보는데 하늘이 노랗다 못해 깜깜합니다 어디 물어볼 때도 없고 급하게 여기에 물어봅니다 <b>전세사기</b>변호사 찾아가서... 
6,<b>전세 사기</b>,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=414066814&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=367&search_sort=0&spq=0,우리나라에서 <b>전세사기</b> 당할 확률이 어느정도 인가요? 그리고 만약 사기 당해도 법적으로 다 돌려받을 수 있죠?  <b>전세사기</b>건은 보통 임대인하고 계약을 안하고 대리인과 하거나 임대계약금이나 보증금을 부동산 말만 믿고 타임에게... 
7,개인<b>전세</b>대출<b>사기</b>를당하고 연체없이갚고있는데요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40106&docId=425878048&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=368&search_sort=0&spq=0,... <b>전세사기</b> 대출은 사기꾼들을 잡을확률이 높으니 먼저 사기군들을 잡을수 있는 노력을 하시는것이 좋을듯합니다. 형사 전문변호사가 있으니 상담이 필요하시면 연락 주시기 바라겠습니다. *** **** **** 입니다.
8,<b>전세 사기</b> 가능성이 있나요??,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=405613137&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=369&search_sort=0&spq=0,"... <b>전세사기</b> 당하셨네요. 축하드립니다. ㅊㅊ ㅊㅊㅊㅊ,ㅊㅊㅊㅊ 님 그러다가 사기 당해요. 지금 개념 자체가 없잖아요. 2.5억에 80% 올전세 2.0억 선순위면 안전 2.5억에 80% 잡으면 2.0억 입니다. 집주인 1억 대출이... "
9,부동산 <b>전세사기</b>와 공제기간이 얼마 안남았어요,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60221&docId=392231187&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=370&search_sort=0&spq=0,... 29일 ~ 2021년 06월 28일까지 기간이 만료되도 증서에 효력이 있을까요? 3 효력이 있다면 어떻게 신청해야 피해보상을 받을수 있을까요?  부동산 <b>전세 사기</b> 대처방법에 관해서는 아래 블로그 글 참고하시면 도움이 되실 것입니다. &quot; &amp;
10,<b>전세사기</b>에 대한 대항력과 보증보험금 수령가능 여부... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430797479&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=371&search_sort=0&spq=0,"... ⑤ 매수인이 유명한 <b>전세사기</b>꾼으로 확인됨. [특약] 본 계약은 잔금(03월 19일)과 동시에 수분양자 매수인에게 소유권이전 하기로 한다. [질문의 요지] 1. 계약서 작성시점이 매수인의 소유권得 시점보다 전인데, 계약서의 효력에... "
11,<b>전세</b>계약 <b>사기</b> 정황,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=430593822&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=372&search_sort=0&spq=0,"... <b>전세사기</b>의 정황만 있는 상태에서 제가 무엇을 준비해야할까요? 조언 부탁드리겠습니다. 주택은 공동주택(아파트, 연립주택)과 단독주택으로 나누는데 다가구 주택은 단독주택에 해당됩니다. 공동주택은 각 세대별로 각각의 소유권이... "
12,<b>전세사기</b> 조언 꼭좀 부탁드립니다.,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=421934474&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=373&search_sort=0&spq=0,"사회초년생 <b>전세사기</b>를 당했습니다. 조언좀 꼭 부탁드립니다. 1년 계약 오피스텔 전세 임차인입니다. 보증금은 1억 6천이구요 (버팀목 1억) 전입신고는 되어있는상태이고, 보증보험은 아직 들지 않은 상태입니다.. 계약일까지 6개월정도... "
13,<b>전세사기</b>로 살던 집이 경매에 넘어가 낙찰된 후... ,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60212&docId=411946397&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=374&search_sort=0&spq=0,"... 집주인은 당연하게도 경매 넘어가기 전부터 연락이 되지 않고 있습니다 == 저희 사무실에서 이런 사건, 즉, <b>전세사기</b> 사건을 다수 진행하고 있는데요. 사실상 나머지 보증금액이 우리 주머니로 들어올 가능성은 높지 않고... "
14,<b>전세사기</b>피해 안당하는 방법이 있나요?,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=422050983&qb=7KCE7IS47IKs6riw&enc=utf8&section=kin.qna&rank=375&search_sort=0&spq=0,<b>전세사기</b>피해 안당하는 방법이 있나요?  <b>전세사기</b>피해 안당하는 방법이 있나요? 신분증. 등기부등본 등 꼼꼼히 확인하고 법인소유 피하고 융자말소조건이나 융자가 적은 집 구하기.
