,title,link,description
10,보증금을돌려받지 못하는 상황입니다.도와주세요!,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=395014447&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0,... 4.<b>건물</b>에 문제가 있다는걸 알았고 신탁등기<b>건물</b>로써 <b>신탁사</b> 동의없이 임대불가한 <b>건물</b>이란 것을 알게됨. 때문에... 고의적으로 <b>사기</b>를 계획했다고 밖에 생각이 안듭니다. 중개인과 집주인을 <b>사기</b>혐의로 고소 할수 있을까요? 또... 
11,신축빌라의 집합<b>건물</b> 등기부등본에 등기명의인이... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40201&docId=364539534&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0,"... 처음 주택을 매입하는 것이라서 조심스럽고, 요즘 워낙 분양<b>사기</b>가 많다보니... <b>건물</b>을 준공하고난 후 건축 과정에서 공사를 진행하면서 발생했던 높은 금리의 대출들을 통대출로 갈아타게 되는데요~ 그러한 상황에서 <b>신탁사</b>를 끼고... "
12,신축상가 분양 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=262502148&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0,"... / <b>건물</b>이 없어서? 소유자가 없어서? 그런건가요?) 고수님들 조언 부탁드립니다.  부동산쪽으로 일 하고 있습니다.... 물론 가짜 <b>신탁사</b>를 만들어 <b>사기</b>를 치려한다면 있겠지만, 대부분의 신축 분양은 현장마다 다르지만 법적으로... "
13,신축<b>건물</b> 전세 계약시 등기부등본 신탁회사,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=339668276&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0,"... 그리고 분양 계약서에 매수자(을) 박xx, 대리사무<b>신탁사</b>(정) 란에... [신축인 경우] 나중에 <b>건물</b> 다 짓구요. - 등기부등본 상 근저당 없고 - 님... 이 관점의 차이만 잘 이해하시면 평생 전세<b>사기</b> 당할 일 없으실 꺼에용 특약... "
14,신탁등기 원룸 계약,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4020201&docId=419723487&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0,... <b>신탁사</b>를 통하지 않더라도 꼭 <b>신탁사</b>의 동의를 받아야 하는 것이 아닌지.... <b>건물</b>에 월세 있으면 보증금 아니고 2000~5000 지역별 우선변제금으로 방마다 계산하셔야 합니당. 70% 산수 끝! 전세보증보험을 들면 -&gt; 전세<b>사기</b>를... 
15,전세자금대출 신탁등기 말소조건에 관해서,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010501&docId=418349607&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0,"... 현재는 해당소유권이 법인이고 신탁등기를 통해 <b>신탁사</b>로 소유권 이전상태입니다. 이 <b>건물</b>을 전세계약을... 이런 계약이 가능한건지, <b>사기</b>가능성은 없는지? 2. 부동산말로는 불안정한경우에는 전세자금대출과 안심보증... "
16,분양<b>사기</b> 아닌지 확인하는 방법,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=378117731&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0,"아직 <b>건물</b>이 짓기 전인데 분양 받은 상태입니다 부동산 아니고 분양... 계약서에 주소도 있고 <b>신탁사</b>, 시행사, 시공사 날인도 있을 것인데. 그것만큼... 있어서 <b>사기</b>성이 있다라고 느끼시는 건가요? 도움이 필요하시다면 아래링크로... "
17,신탁부동산에 임대차계약시 <b>건물</b>주(위탁자)가 해도... ,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40202&docId=213960668&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0,"... 만약 특약사항에 <b>건물</b>주는 임대차 계약을 하지못한다 라는 조항이 있다면 이 <b>건물</b>주가 <b>사기</b>가 될까요...... 신청, <b>신탁사</b>에서 수익자(금융기관) 신탁해지 동의서 수령, 신탁해지 서류 제공, 시공사 소유권이전 등기서류와 신탁해지... "
18,지인에게 빌려준돈,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60211&docId=427639791&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0,"... <b>사기</b>죄로 고소하면 이사람은 어떤처벌을 받나요?  ◐안녕하세요. 로시컴... 승소: <b>건물</b>외벽 및 창호 공사대금 미지급 사건을 진행하였고, 상대방의... 가처분: <b>신탁사</b>를 빼돌린 사건에서, 상대방의 부동산이 아닌 소유권이전청구권을... "
19,부동산등기권리증이 신탁회사로 되어 있어요,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=424221860&qb=7Iug7YOB7IKsIOqxtOusvCDsgqzquLA=&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0,"... 위와 같은 경우는 먼저 <b>신탁사</b>에 신탁원부를 요구하여 확인해보고, 간단히 신탁해제가 가능한 경우에는 해제 후 등기이전을 하면 되겠지만 다른 <b>건물</b> 등과 묶여 소유권이전이 불가능하다면 <b>사기</b>죄로 고소하여 처벌을 구할 수 있을... "
