,상호,휘발유,상표,셀프여부,주소,시
1756,포동주유소,1768,GS칼텍스,Y,경기 시흥시 시흥대로789번길 3 (포동),시흥시
1757,관곡주유소,1769,S-OIL,N,경기 시흥시 관곡지로 32 (하중동),시흥시
1758,SK에너지(주) 시흥주유소,1772,SK에너지,Y,경기 시흥시 수인로 3380 (신천동),시흥시
1759,대성석유(주)정왕IC주유소,1777,GS칼텍스,Y,경기 시흥시 서해안로 590,시흥시
1760,시흥하늘주유소(일산방향),1778,SK에너지,N,경기 시흥시 수도권제1순환고속도로 105-1,시흥시
1761,구도일주유소 시화MTV,1779,S-OIL,Y,경기 시흥시 엠티브이28로 66,시흥시
1762,우리주유소,1779,S-OIL,N,경기 시흥시 계수로126번길 1 (계수동),시흥시
1763,(주)세지에너지주유소/충전소,1787,SK에너지,Y,경기 시흥시 서해안로 120,시흥시
1764,지에스칼텍스㈜ 시화신도시주유소,1790,GS칼텍스,Y,경기 시흥시 마유로 316 (정왕동),시흥시
1765,지에스칼텍스(주)시흥대한주유소,1790,GS칼텍스,Y,경기 시흥시 수인로 3293 (신천동),시흥시
1766,지에스칼텍스㈜ 시화공단주유소,1790,GS칼텍스,Y,경기 시흥시 공단1대로 256,시흥시
1767,시흥하늘주유소(판교방향),1798,SK에너지,N,경기 시흥시 수도권제1순환고속도로 106,시흥시
1768,신만해주유소,1798,SK에너지,Y,경기 시흥시 금화로 204 (산현동),시흥시
1769,논곡주유소,1799,SK에너지,N,경기 시흥시 박달로 85 (논곡동),시흥시
1770,(주)삼호SW주유소,1799,GS칼텍스,Y,경기 시흥시 시화벤처로 358,시흥시
