,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210703,1호선,서울역,26929,27300
1,20210703,1호선,동묘앞,8612,8737
2,20210703,1호선,시청,8587,8957
3,20210703,1호선,종각,18584,18138
4,20210703,1호선,종로3가,17048,17680
5,20210703,1호선,종로5가,20945,17892
6,20210703,1호선,동대문,10108,9211
7,20210703,1호선,신설동,8496,8155
8,20210703,1호선,제기동,13458,13922
9,20210703,1호선,청량리(서울시립대입구),16378,16707
10,20210703,2호선,시청,7643,6711
11,20210703,2호선,을지로입구,18841,18362
12,20210703,2호선,을지로3가,10914,10338
13,20210703,2호선,을지로4가,6881,6436
14,20210703,2호선,동대문역사문화공원(DDP),9090,9893
15,20210703,2호선,신당,9586,10286
16,20210703,2호선,상왕십리,8716,8413
17,20210703,2호선,왕십리(성동구청),12064,10221
18,20210703,2호선,한양대,3732,3754
19,20210703,2호선,뚝섬,11250,11605
20,20210703,2호선,성수,16274,17469
21,20210703,2호선,건대입구,29728,30857
22,20210703,2호선,구의(광진구청),14649,14572
23,20210703,2호선,강변(동서울터미널),23487,23930
24,20210703,2호선,잠실나루,6579,6550
25,20210703,2호선,잠실(송파구청),55559,52978
26,20210703,2호선,잠실새내,15776,16214
27,20210703,2호선,종합운동장,4706,5350
28,20210703,2호선,삼성(무역센터),32266,31844
29,20210703,2호선,선릉,22319,19997
30,20210703,2호선,역삼,16790,17932
31,20210703,2호선,강남,55661,54163
32,20210703,2호선,교대(법원.검찰청),15555,17585
33,20210703,2호선,서초,9028,7448
34,20210703,2호선,방배,8614,8954
35,20210703,2호선,사당,25634,28121
36,20210703,2호선,낙성대(강감찬),19118,17917
37,20210703,2호선,서울대입구(관악구청),34603,32914
38,20210703,2호선,봉천,15326,14389
39,20210703,2호선,신림,44788,43185
40,20210703,2호선,신대방,17904,17745
41,20210703,2호선,구로디지털단지,30190,30140
42,20210703,2호선,대림(구로구청),16211,17306
43,20210703,2호선,신도림,36956,36789
44,20210703,2호선,문래,10878,11533
45,20210703,2호선,영등포구청,11411,11851
46,20210703,2호선,당산,11041,12051
47,20210703,2호선,합정,23263,24901
48,20210703,2호선,홍대입구,45187,45330
49,20210703,2호선,신촌,27477,27650
50,20210703,2호선,이대,8985,9687
51,20210703,2호선,아현,6876,6749
52,20210703,2호선,충정로(경기대입구),5377,5761
53,20210703,2호선,용답,1843,1891
54,20210703,2호선,신답,891,951
55,20210703,2호선,신설동,2799,2584
56,20210703,2호선,도림천,776,841
57,20210703,2호선,양천구청,4001,4161
58,20210703,2호선,신정네거리,6572,6771
59,20210703,2호선,용두(동대문구청),1617,1621
60,20210703,3호선,지축,2527,2401
61,20210703,3호선,구파발,13396,13515
62,20210703,3호선,연신내,26811,24925
63,20210703,3호선,불광,11765,13207
64,20210703,3호선,녹번,9259,8310
65,20210703,3호선,홍제,11899,11430
