,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210701,1호선,서울역,41854,40070
1,20210701,1호선,동묘앞,8097,8459
2,20210701,1호선,시청,21905,22301
3,20210701,1호선,종각,36208,35430
4,20210701,1호선,종로3가,25002,22518
5,20210701,1호선,종로5가,22764,22786
6,20210701,1호선,동대문,11181,10597
7,20210701,1호선,신설동,14121,13751
8,20210701,1호선,제기동,17207,17555
9,20210701,1호선,청량리(서울시립대입구),19832,19926
10,20210701,2호선,시청,24167,23336
11,20210701,2호선,을지로입구,39394,40720
12,20210701,2호선,을지로3가,22911,22951
13,20210701,2호선,을지로4가,13317,13023
14,20210701,2호선,동대문역사문화공원(DDP),12284,13737
15,20210701,2호선,신당,13871,14532
16,20210701,2호선,상왕십리,14415,13996
17,20210701,2호선,왕십리(성동구청),15918,13025
18,20210701,2호선,한양대,6981,7560
19,20210701,2호선,뚝섬,23315,24919
20,20210701,2호선,성수,37893,41990
21,20210701,2호선,건대입구,34550,37065
22,20210701,2호선,구의(광진구청),23732,23432
23,20210701,2호선,강변(동서울터미널),30088,29105
24,20210701,2호선,잠실나루,14986,14727
25,20210701,2호선,잠실(송파구청),67407,67368
26,20210701,2호선,잠실새내,21210,21361
27,20210701,2호선,종합운동장,8541,9141
28,20210701,2호선,삼성(무역센터),53029,54447
29,20210701,2호선,선릉,58364,51940
30,20210701,2호선,역삼,52041,58598
31,20210701,2호선,강남,85943,84421
32,20210701,2호선,교대(법원.검찰청),34908,39604
33,20210701,2호선,서초,22082,21769
34,20210701,2호선,방배,16541,17440
35,20210701,2호선,사당,36364,39672
36,20210701,2호선,낙성대(강감찬),28061,26884
37,20210701,2호선,서울대입구(관악구청),48042,47010
38,20210701,2호선,봉천,24474,22552
39,20210701,2호선,신림,62954,60938
40,20210701,2호선,신대방,26855,25955
41,20210701,2호선,구로디지털단지,62712,63054
42,20210701,2호선,대림(구로구청),24215,24702
43,20210701,2호선,신도림,49225,48215
44,20210701,2호선,문래,22525,23121
45,20210701,2호선,영등포구청,23593,23862
46,20210701,2호선,당산,19528,22734
47,20210701,2호선,합정,30718,32126
48,20210701,2호선,홍대입구,48220,49524
49,20210701,2호선,신촌,32487,33341
50,20210701,2호선,이대,12827,13103
51,20210701,2호선,아현,10589,10134
52,20210701,2호선,충정로(경기대입구),10170,10849
53,20210701,2호선,용답,2662,2606
54,20210701,2호선,신답,1649,1898
55,20210701,2호선,신설동,3238,3221
56,20210701,2호선,도림천,1583,1584
57,20210701,2호선,양천구청,6975,7424
58,20210701,2호선,신정네거리,10522,10873
59,20210701,2호선,용두(동대문구청),2417,2487
60,20210701,3호선,지축,4368,4207
61,20210701,3호선,구파발,21279,20162
62,20210701,3호선,연신내,37574,35327
63,20210701,3호선,불광,16527,17609
64,20210701,3호선,녹번,15553,14222
65,20210701,3호선,홍제,17245,16217
66,20210701,3호선,무악재,4036,3947
67,20210701,3호선,독립문,7278,7552
68,20210701,3호선,경복궁(정부서울청사),20417,20223
69,20210701,3호선,안국,20545,21354
70,20210701,3호선,종로3가,10177,11729
71,20210701,3호선,을지로3가,10838,11321
72,20210701,3호선,동대입구,7515,7756
73,20210701,3호선,약수,13529,13175
74,20210701,3호선,금호,8414,7934
75,20210701,3호선,옥수,9329,9787
76,20210701,3호선,압구정,32112,34080
77,20210701,3호선,신사,30773,32152
78,20210701,3호선,잠원,4848,4769
79,20210701,3호선,고속터미널,38822,37592
80,20210701,3호선,교대(법원.검찰청),14679,9324
81,20210701,3호선,남부터미널(예술의전당),28900,29754
82,20210701,3호선,양재(서초구청),39769,43281
83,20210701,3호선,매봉,13052,12564
84,20210701,3호선,도곡,5639,5779
85,20210701,3호선,대치,10646,10675
86,20210701,3호선,학여울,1700,1849
87,20210701,3호선,대청,10334,9279
88,20210701,3호선,일원,10426,10172
89,20210701,3호선,수서,17021,17411
90,20210701,3호선,가락시장,9123,9067
91,20210701,3호선,경찰병원,7409,7379
92,20210701,3호선,오금,6277,5634
93,20210701,4호선,수유(강북구청),33615,33366
94,20210701,4호선,미아(서울사이버대학),14920,14476
95,20210701,4호선,미아사거리,27827,26923
96,20210701,4호선,길음,20375,19434
97,20210701,4호선,성신여대입구(돈암),19958,19021
98,20210701,4호선,한성대입구(삼선교),13745,13351
99,20210701,4호선,혜화,31750,32028
100,20210701,4호선,동대문,20713,21187
101,20210701,4호선,동대문역사문화공원(DDP),15094,14009
102,20210701,4호선,충무로,26411,27447
103,20210701,4호선,명동,17656,18327
104,20210701,4호선,회현(남대문시장),24357,25989
105,20210701,4호선,서울역,11073,15418
106,20210701,4호선,숙대입구(갈월),13117,12831
107,20210701,4호선,삼각지,5210,5791
108,20210701,4호선,신용산,16630,17644
