,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210726,1호선,서울역,33236,31444
1,20210726,1호선,동묘앞,6071,6212
2,20210726,1호선,시청,17832,17763
3,20210726,1호선,종각,27906,27220
4,20210726,1호선,종로3가,20503,18946
5,20210726,1호선,종로5가,18775,18702
6,20210726,1호선,동대문,9683,9205
7,20210726,1호선,신설동,12175,12096
8,20210726,1호선,제기동,13812,14093
9,20210726,1호선,청량리(서울시립대입구),17126,17006
10,20210726,2호선,시청,19550,18980
11,20210726,2호선,을지로입구,31681,32132
12,20210726,2호선,을지로3가,18420,18203
13,20210726,2호선,을지로4가,11199,10874
14,20210726,2호선,동대문역사문화공원(DDP),9357,10324
15,20210726,2호선,신당,11624,12021
16,20210726,2호선,상왕십리,12008,11824
17,20210726,2호선,왕십리(성동구청),12497,10436
18,20210726,2호선,한양대,5485,5688
19,20210726,2호선,뚝섬,18208,19711
20,20210726,2호선,성수,31406,33860
21,20210726,2호선,건대입구,26158,28216
22,20210726,2호선,구의(광진구청),20050,20189
23,20210726,2호선,강변(동서울터미널),25252,24123
24,20210726,2호선,잠실나루,11955,11761
25,20210726,2호선,잠실(송파구청),51436,51652
26,20210726,2호선,잠실새내,17390,17037
27,20210726,2호선,종합운동장,5506,5827
28,20210726,2호선,삼성(무역센터),40692,40498
29,20210726,2호선,선릉,49110,43565
30,20210726,2호선,역삼,44308,48507
31,20210726,2호선,강남,70861,69012
32,20210726,2호선,교대(법원.검찰청),28184,31476
33,20210726,2호선,서초,17894,17325
34,20210726,2호선,방배,13229,13822
35,20210726,2호선,사당,28341,30682
36,20210726,2호선,낙성대(강감찬),22721,22712
37,20210726,2호선,서울대입구(관악구청),39635,39262
38,20210726,2호선,봉천,20529,19477
39,20210726,2호선,신림,53938,52984
40,20210726,2호선,신대방,22678,22106
41,20210726,2호선,구로디지털단지,52194,53126
42,20210726,2호선,대림(구로구청),20720,21180
43,20210726,2호선,신도림,40438,39043
44,20210726,2호선,문래,18251,18504
45,20210726,2호선,영등포구청,19942,20123
46,20210726,2호선,당산,15064,17717
47,20210726,2호선,합정,24560,25132
48,20210726,2호선,홍대입구,37565,38480
49,20210726,2호선,신촌,26032,27049
50,20210726,2호선,이대,10127,10800
51,20210726,2호선,아현,8672,8430
52,20210726,2호선,충정로(경기대입구),8698,9059
53,20210726,2호선,용답,2244,2222
54,20210726,2호선,신답,1371,1636
55,20210726,2호선,신설동,2794,2801
56,20210726,2호선,도림천,1157,1222
57,20210726,2호선,양천구청,5552,5983
58,20210726,2호선,신정네거리,8835,9232
59,20210726,2호선,용두(동대문구청),2066,2153
60,20210726,3호선,지축,3691,3655
61,20210726,3호선,구파발,17541,16905
62,20210726,3호선,연신내,31595,30041
63,20210726,3호선,불광,13918,14875
64,20210726,3호선,녹번,13068,11932
65,20210726,3호선,홍제,14357,13875
66,20210726,3호선,무악재,3361,3411
67,20210726,3호선,독립문,5630,5707
68,20210726,3호선,경복궁(정부서울청사),14824,14560
69,20210726,3호선,안국,14335,14548
70,20210726,3호선,종로3가,8667,9881
71,20210726,3호선,을지로3가,9136,9134
72,20210726,3호선,충무로,1,0
73,20210726,3호선,동대입구,5664,5806
74,20210726,3호선,약수,10741,10686
75,20210726,3호선,금호,6732,6409
76,20210726,3호선,옥수,7269,7759
77,20210726,3호선,압구정,25134,26499
78,20210726,3호선,신사,25311,26484
79,20210726,3호선,잠원,3869,3730
80,20210726,3호선,고속터미널,28595,26189
81,20210726,3호선,교대(법원.검찰청),11406,7610
82,20210726,3호선,남부터미널(예술의전당),24038,24645
83,20210726,3호선,양재(서초구청),32288,35327
84,20210726,3호선,매봉,11077,10582
85,20210726,3호선,도곡,4467,4526
86,20210726,3호선,대치,9883,9804
87,20210726,3호선,학여울,1373,1383
88,20210726,3호선,대청,8430,7769
89,20210726,3호선,일원,8467,8405
90,20210726,3호선,수서,13767,14073
91,20210726,3호선,가락시장,7744,7508
92,20210726,3호선,경찰병원,6454,6523
93,20210726,3호선,오금,5418,4838
94,20210726,4호선,수유(강북구청),29248,29410
95,20210726,4호선,미아(서울사이버대학),12617,12459
96,20210726,4호선,미아사거리,23604,22843
97,20210726,4호선,길음,16670,16317
98,20210726,4호선,성신여대입구(돈암),16166,15685
99,20210726,4호선,한성대입구(삼선교),10866,10601
100,20210726,4호선,혜화,23635,23524
101,20210726,4호선,동대문,18378,18841
102,20210726,4호선,동대문역사문화공원(DDP),12303,11444
103,20210726,4호선,충무로,22481,23194
104,20210726,4호선,명동,14167,14365
105,20210726,4호선,회현(남대문시장),17831,18939
106,20210726,4호선,서울역,8857,11448
107,20210726,4호선,숙대입구(갈월),10391,10097
108,20210726,4호선,삼각지,4224,4495
109,20210726,4호선,신용산,12740,13561
110,20210726,4호선,이촌(국립중앙박물관),5895,6621
111,20210726,4호선,동작(현충원),1686,1831
112,20210726,4호선,총신대입구(이수),15657,17186
113,20210726,4호선,사당,19314,15935
114,20210726,4호선,남태령,930,810
115,20210726,4호선,당고개,11315,10192
116,20210726,4호선,상계,16383,15293
117,20210726,4호선,노원,15796,17504
118,20210726,4호선,창동,21574,22936
119,20210726,4호선,쌍문,25658,23820
120,20210726,5호선,방화,5859,5641
121,20210726,5호선,개화산,4761,4553
122,20210726,5호선,김포공항,6689,6136
123,20210726,5호선,송정,5766,5360
124,20210726,5호선,마곡,9035,8953
125,20210726,5호선,발산,16340,16725
126,20210726,5호선,우장산,11773,11953
127,20210726,5호선,화곡,24412,23113
128,20210726,5호선,까치산,24780,24241
129,20210726,5호선,신정(은행정),11917,9623
130,20210726,5호선,목동,14094,15607
131,20210726,5호선,오목교(목동운동장앞),18516,19975
132,20210726,5호선,양평,6479,6530
133,20210726,5호선,영등포구청,3475,3481
134,20210726,5호선,영등포시장,8231,8424
135,20210726,5호선,신길,3392,3706
136,20210726,5호선,여의도,22973,23691
137,20210726,5호선,여의나루,7154,7834
138,20210726,5호선,마포,12044,12237
139,20210726,5호선,공덕,11457,12246
140,20210726,5호선,애오개,5703,5718
141,20210726,5호선,충정로(경기대입구),4173,4344
142,20210726,5호선,서대문,16069,16288
143,20210726,5호선,광화문(세종문화회관),24661,25281
144,20210726,5호선,종로3가,9371,9279
145,20210726,5호선,을지로4가,5207,5329
146,20210726,5호선,동대문역사문화공원(DDP),2537,2866
147,20210726,5호선,청구,3518,3265
148,20210726,5호선,신금호,5109,5414
149,20210726,5호선,행당,6961,6371
150,20210726,5호선,왕십리(성동구청),4111,4344
151,20210726,5호선,마장,4506,4182
152,20210726,5호선,답십리,13704,12702
153,20210726,5호선,장한평,16144,16105
154,20210726,5호선,군자(능동),9354,10214
155,20210726,5호선,아차산(어린이대공원후문),11684,11510
156,20210726,5호선,광나루(장신대),10554,9520
157,20210726,5호선,천호(풍납토성),15231,15176
158,20210726,5호선,강동,16020,15384
159,20210726,5호선,길동,7162,7470
160,20210726,5호선,굽은다리(강동구민회관앞),8671,8297
161,20210726,5호선,명일,7171,7492
162,20210726,5호선,고덕,8041,8239
163,20210726,5호선,상일동,13454,12392
164,20210726,5호선,둔촌동,7492,7511
165,20210726,5호선,올림픽공원(한국체대),3456,2958
166,20210726,5호선,방이,5985,6239
167,20210726,5호선,오금,3208,3127
168,20210726,5호선,개롱,5661,6013
169,20210726,5호선,거여,7460,7251
170,20210726,5호선,마천,5463,5457
171,20210726,5호선,강일,2764,2768
172,20210726,5호선,미사,12706,12694
173,20210726,5호선,하남풍산,3518,3598
174,20210726,5호선,하남시청(덕풍·신장),4529,4529
175,20210726,5호선,하남검단산,4085,3938
176,20210726,6호선,응암,15177,15477
177,20210726,6호선,역촌,3592,4120
178,20210726,6호선,불광,3775,3648
179,20210726,6호선,독바위,2380,2603
180,20210726,6호선,구산,6628,5219
181,20210726,6호선,새절(신사),10776,10167
182,20210726,6호선,증산(명지대앞),8647,8658
183,20210726,6호선,디지털미디어시티,11743,12782
184,20210726,6호선,월드컵경기장(성산),3851,3991
185,20210726,6호선,마포구청,12358,11314
186,20210726,6호선,망원,11551,12358
187,20210726,6호선,합정,10244,10162
188,20210726,6호선,상수,5993,6608
189,20210726,6호선,광흥창(서강),7489,7296
190,20210726,6호선,대흥(서강대앞),6950,7204
191,20210726,6호선,공덕,15336,14745
192,20210726,6호선,효창공원앞,5818,5187
193,20210726,6호선,삼각지,4725,4124
194,20210726,6호선,녹사평(용산구청),3737,3610
195,20210726,6호선,이태원,6605,6651
196,20210726,6호선,한강진,5059,5772
197,20210726,6호선,버티고개,1667,1752
198,20210726,6호선,약수,3304,3052
199,20210726,6호선,청구,3424,3525
200,20210726,6호선,신당,6849,7367
201,20210726,6호선,동묘앞,6924,7251
202,20210726,6호선,창신,3077,2441
203,20210726,6호선,보문,6033,5672
204,20210726,6호선,안암(고대병원앞),8185,8111
205,20210726,6호선,고려대(종암),6341,6209
206,20210726,6호선,월곡(동덕여대),9666,9804
207,20210726,6호선,상월곡(한국과학기술연구원),5363,4950
208,20210726,6호선,돌곶이,7816,7387
209,20210726,6호선,석계,10489,10828
210,20210726,6호선,태릉입구,4612,4893
211,20210726,6호선,화랑대(서울여대입구),9729,7570
212,20210726,6호선,봉화산(서울의료원),7858,7407
213,20210726,7호선,장암,2087,834
214,20210726,7호선,도봉산,8579,9262
215,20210726,7호선,수락산,11183,11204
216,20210726,7호선,마들,10952,10648
217,20210726,7호선,노원,17403,18330
218,20210726,7호선,중계,11822,11009
219,20210726,7호선,하계,14922,14031
220,20210726,7호선,공릉(서울과학기술대),9641,9726
221,20210726,7호선,태릉입구,6952,6578
222,20210726,7호선,먹골,8878,8798
223,20210726,7호선,중화,9611,9482
224,20210726,7호선,상봉(시외버스터미널),14545,13773
225,20210726,7호선,면목,13437,13286
226,20210726,7호선,사가정,14240,14248
227,20210726,7호선,용마산(용마폭포공원),5239,5146
228,20210726,7호선,중곡,8610,8195
229,20210726,7호선,군자(능동),12593,10553
230,20210726,7호선,어린이대공원(세종대),10078,9878
231,20210726,7호선,건대입구,10321,10354
232,20210726,7호선,뚝섬유원지,6357,6356
233,20210726,7호선,청담,16409,17936
234,20210726,7호선,강남구청,13944,15196
235,20210726,7호선,학동,21816,22712
236,20210726,7호선,논현,18283,19660
237,20210726,7호선,반포,4851,4810
238,20210726,7호선,고속터미널,13151,10787
239,20210726,7호선,내방,12684,12995
240,20210726,7호선,이수,13138,12838
241,20210726,7호선,남성,9448,8880
242,20210726,7호선,숭실대입구(살피재),9475,9847
243,20210726,7호선,상도,8931,8607
244,20210726,7호선,장승배기,8363,8202
245,20210726,7호선,신대방삼거리,14283,14026
246,20210726,7호선,보라매,8136,8247
247,20210726,7호선,신풍,10087,9701
248,20210726,7호선,대림(구로구청),7283,7179
249,20210726,7호선,남구로,14799,15453
250,20210726,7호선,가산디지털단지,42944,42720
251,20210726,7호선,철산,18212,18756
252,20210726,7호선,광명사거리,19472,19373
253,20210726,7호선,천왕,9949,9516
254,20210726,7호선,온수(성공회대입구),9242,8427
255,20210726,7호선,까치울,6540,6384
256,20210726,7호선,부천종합운동장,4247,3692
257,20210726,7호선,춘의,9197,9128
