,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210731,1호선,서울역,19227,20630
1,20210731,1호선,동묘앞,8406,8450
2,20210731,1호선,시청,6485,6295
3,20210731,1호선,종각,11641,11197
4,20210731,1호선,종로3가,14374,13432
5,20210731,1호선,종로5가,12038,11951
6,20210731,1호선,동대문,8281,7525
7,20210731,1호선,신설동,6924,6511
8,20210731,1호선,제기동,10915,11221
9,20210731,1호선,청량리(서울시립대입구),13754,14000
10,20210731,2호선,시청,5645,5137
11,20210731,2호선,을지로입구,13596,13636
12,20210731,2호선,을지로3가,6490,6366
13,20210731,2호선,을지로4가,4755,4782
14,20210731,2호선,동대문역사문화공원(DDP),6622,7133
15,20210731,2호선,신당,8055,8232
16,20210731,2호선,상왕십리,7226,6964
17,20210731,2호선,왕십리(성동구청),8841,7545
18,20210731,2호선,한양대,2443,2275
19,20210731,2호선,뚝섬,8632,8849
20,20210731,2호선,성수,12226,13843
21,20210731,2호선,건대입구,21975,23515
22,20210731,2호선,구의(광진구청),12046,11872
23,20210731,2호선,강변(동서울터미널),17348,18797
24,20210731,2호선,잠실나루,5174,5213
25,20210731,2호선,잠실(송파구청),40874,39139
26,20210731,2호선,잠실새내,11860,12172
27,20210731,2호선,종합운동장,3199,3530
28,20210731,2호선,삼성(무역센터),18310,18140
29,20210731,2호선,선릉,16978,14866
30,20210731,2호선,역삼,12785,13843
31,20210731,2호선,강남,41805,40653
32,20210731,2호선,교대(법원.검찰청),11996,13313
33,20210731,2호선,서초,6614,5751
34,20210731,2호선,방배,6785,7087
35,20210731,2호선,사당,19268,21010
36,20210731,2호선,낙성대(강감찬),15547,14355
37,20210731,2호선,서울대입구(관악구청),28016,26840
38,20210731,2호선,봉천,13265,12105
39,20210731,2호선,신림,37748,35749
40,20210731,2호선,신대방,15127,14625
41,20210731,2호선,구로디지털단지,24995,24528
42,20210731,2호선,대림(구로구청),13277,14365
43,20210731,2호선,신도림,26312,25987
44,20210731,2호선,문래,7756,7994
45,20210731,2호선,영등포구청,8605,8706
46,20210731,2호선,당산,8535,9431
47,20210731,2호선,합정,17503,18751
48,20210731,2호선,홍대입구,36540,37316
49,20210731,2호선,신촌,20467,20269
50,20210731,2호선,이대,7170,7463
51,20210731,2호선,아현,5579,5323
52,20210731,2호선,충정로(경기대입구),3488,3556
53,20210731,2호선,용답,1613,1510
54,20210731,2호선,신답,687,745
55,20210731,2호선,신설동,2255,2292
56,20210731,2호선,도림천,477,474
57,20210731,2호선,양천구청,3070,3141
58,20210731,2호선,신정네거리,5350,5383
59,20210731,2호선,용두(동대문구청),1292,1364
60,20210731,3호선,지축,2070,2045
61,20210731,3호선,구파발,11147,11190
62,20210731,3호선,연신내,22444,20713
63,20210731,3호선,불광,9492,10584
64,20210731,3호선,녹번,7369,6479
65,20210731,3호선,홍제,9449,9003
66,20210731,3호선,무악재,1983,1991
67,20210731,3호선,독립문,3836,3690
68,20210731,3호선,경복궁(정부서울청사),8771,9101
69,20210731,3호선,안국,7442,8207
70,20210731,3호선,종로3가,3502,4670
71,20210731,3호선,을지로3가,3241,3448
72,20210731,3호선,충무로,1,0
73,20210731,3호선,동대입구,4004,4100
74,20210731,3호선,약수,6743,6288
75,20210731,3호선,금호,4413,4075
76,20210731,3호선,옥수,5043,5178
77,20210731,3호선,압구정,18007,18655
78,20210731,3호선,신사,16201,16821
79,20210731,3호선,잠원,2609,2395
80,20210731,3호선,고속터미널,30643,33184
81,20210731,3호선,교대(법원.검찰청),4459,2655
82,20210731,3호선,남부터미널(예술의전당),13203,14274
83,20210731,3호선,양재(서초구청),12950,14039
84,20210731,3호선,매봉,4311,4207
85,20210731,3호선,도곡,2194,2117
86,20210731,3호선,대치,7191,6359
87,20210731,3호선,학여울,824,784
88,20210731,3호선,대청,4205,3753
89,20210731,3호선,일원,3566,3566
90,20210731,3호선,수서,8451,9316
91,20210731,3호선,가락시장,4409,4043
92,20210731,3호선,경찰병원,2850,2818
93,20210731,3호선,오금,2564,2472
94,20210731,4호선,수유(강북구청),19768,19165
95,20210731,4호선,미아(서울사이버대학),8307,7829
96,20210731,4호선,미아사거리,16308,15562
97,20210731,4호선,길음,9635,9190
98,20210731,4호선,성신여대입구(돈암),12152,11384
99,20210731,4호선,한성대입구(삼선교),7352,6974
100,20210731,4호선,혜화,16485,17182
101,20210731,4호선,동대문,10242,10085
102,20210731,4호선,동대문역사문화공원(DDP),7593,6672
103,20210731,4호선,충무로,8250,8291
104,20210731,4호선,명동,7714,8850
105,20210731,4호선,회현(남대문시장),12413,13193
106,20210731,4호선,서울역,3642,7363
107,20210731,4호선,숙대입구(갈월),6168,5933
108,20210731,4호선,삼각지,2091,2434
109,20210731,4호선,신용산,6620,7501
110,20210731,4호선,이촌(국립중앙박물관),4370,4870
111,20210731,4호선,동작(현충원),1207,1255
112,20210731,4호선,총신대입구(이수),10529,11375
113,20210731,4호선,사당,13318,11339
114,20210731,4호선,남태령,588,505
115,20210731,4호선,당고개,7549,7108
116,20210731,4호선,상계,10243,9739
117,20210731,4호선,노원,11652,12719
118,20210731,4호선,창동,14269,15257
119,20210731,4호선,쌍문,16102,14533
120,20210731,5호선,방화,3571,3573
121,20210731,5호선,개화산,2891,2857
122,20210731,5호선,김포공항,6163,6366
123,20210731,5호선,송정,3701,3683
124,20210731,5호선,마곡,3785,3790
125,20210731,5호선,발산,8734,9084
126,20210731,5호선,우장산,7024,7054
127,20210731,5호선,화곡,14717,13726
128,20210731,5호선,까치산,15848,15452
129,20210731,5호선,신정(은행정),6513,5727
130,20210731,5호선,목동,8316,8363
131,20210731,5호선,오목교(목동운동장앞),11996,12496
132,20210731,5호선,양평,2605,2451
133,20210731,5호선,영등포구청,1417,1372
134,20210731,5호선,영등포시장,4832,4807
135,20210731,5호선,신길,1782,1870
136,20210731,5호선,여의도,7041,7373
137,20210731,5호선,여의나루,4710,5406
138,20210731,5호선,마포,5032,5054
139,20210731,5호선,공덕,4620,4604
140,20210731,5호선,애오개,2777,2677
141,20210731,5호선,충정로(경기대입구),1419,1321
142,20210731,5호선,서대문,5028,4867
143,20210731,5호선,광화문(세종문화회관),9516,10007
144,20210731,5호선,종로3가,7312,7611
145,20210731,5호선,을지로4가,2158,2309
146,20210731,5호선,동대문역사문화공원(DDP),728,921
147,20210731,5호선,청구,1950,1677
148,20210731,5호선,신금호,2974,3091
149,20210731,5호선,행당,4055,3474
150,20210731,5호선,왕십리(성동구청),2599,2963
151,20210731,5호선,마장,2845,2629
152,20210731,5호선,답십리,7521,6816
153,20210731,5호선,장한평,7977,7983
154,20210731,5호선,군자(능동),5940,6524
155,20210731,5호선,아차산(어린이대공원후문),8696,8401
156,20210731,5호선,광나루(장신대),6882,6399
157,20210731,5호선,천호(풍납토성),12185,11516
158,20210731,5호선,강동,8888,8484
159,20210731,5호선,길동,4634,4704
160,20210731,5호선,굽은다리(강동구민회관앞),5581,5111
161,20210731,5호선,명일,4173,4317
162,20210731,5호선,고덕,4441,4469
163,20210731,5호선,상일동,7046,6553
164,20210731,5호선,둔촌동,4610,4636
165,20210731,5호선,올림픽공원(한국체대),1909,1594
166,20210731,5호선,방이,3583,3512
167,20210731,5호선,오금,1580,1414
168,20210731,5호선,개롱,3180,3349
169,20210731,5호선,거여,4171,4032
170,20210731,5호선,마천,3380,3366
171,20210731,5호선,강일,1656,1641
172,20210731,5호선,미사,8060,8007
173,20210731,5호선,하남풍산,1972,2064
174,20210731,5호선,하남시청(덕풍·신장),3199,3137
175,20210731,5호선,하남검단산,3577,3469
176,20210731,6호선,응암,9590,9483
177,20210731,6호선,역촌,2159,2406
178,20210731,6호선,불광,2831,2658
179,20210731,6호선,독바위,1547,1701
180,20210731,6호선,구산,4034,3268
181,20210731,6호선,새절(신사),6698,6322
182,20210731,6호선,증산(명지대앞),5560,5429
183,20210731,6호선,디지털미디어시티,5279,5153
184,20210731,6호선,월드컵경기장(성산),3379,3451
185,20210731,6호선,마포구청,7060,6301
186,20210731,6호선,망원,9213,10136
187,20210731,6호선,합정,8286,7712
188,20210731,6호선,상수,5047,5812
189,20210731,6호선,광흥창(서강),3836,3539
190,20210731,6호선,대흥(서강대앞),3940,3826
191,20210731,6호선,공덕,6981,6445
192,20210731,6호선,효창공원앞,3313,2828
193,20210731,6호선,삼각지,3176,2569
194,20210731,6호선,녹사평(용산구청),2997,3133
195,20210731,6호선,이태원,6593,7109
196,20210731,6호선,한강진,5123,5968
197,20210731,6호선,버티고개,981,1143
198,20210731,6호선,약수,1912,1826
199,20210731,6호선,청구,1883,1888
200,20210731,6호선,신당,4995,4178
201,20210731,6호선,동묘앞,5634,5379
202,20210731,6호선,창신,1676,1395
203,20210731,6호선,보문,3720,3245
204,20210731,6호선,안암(고대병원앞),4370,4071
205,20210731,6호선,고려대(종암),3864,3585
206,20210731,6호선,월곡(동덕여대),5340,5464
207,20210731,6호선,상월곡(한국과학기술연구원),3154,2760
208,20210731,6호선,돌곶이,4585,4340
209,20210731,6호선,석계,6522,6322
210,20210731,6호선,태릉입구,3073,3199
211,20210731,6호선,화랑대(서울여대입구),5096,4044
212,20210731,6호선,봉화산(서울의료원),3957,3923
213,20210731,7호선,장암,1196,860
214,20210731,7호선,도봉산,4848,6692
215,20210731,7호선,수락산,7806,7887
216,20210731,7호선,마들,6784,6519
217,20210731,7호선,노원,12051,12230
218,20210731,7호선,중계,6975,6185
219,20210731,7호선,하계,9014,8430
220,20210731,7호선,공릉(서울과학기술대),6369,6425
221,20210731,7호선,태릉입구,4792,4385
222,20210731,7호선,먹골,5782,5545
223,20210731,7호선,중화,5990,5749
224,20210731,7호선,상봉(시외버스터미널),9620,9117
225,20210731,7호선,면목,8462,8410
226,20210731,7호선,사가정,9438,9117
227,20210731,7호선,용마산(용마폭포공원),3224,3309
228,20210731,7호선,중곡,5036,4769
229,20210731,7호선,군자(능동),8197,6407
230,20210731,7호선,어린이대공원(세종대),6053,5719
231,20210731,7호선,건대입구,7539,7323
232,20210731,7호선,뚝섬유원지,4957,4713
233,20210731,7호선,청담,7771,8061
234,20210731,7호선,강남구청,6832,7339
235,20210731,7호선,학동,6857,7083
236,20210731,7호선,논현,8278,8966
237,20210731,7호선,반포,3481,3237
238,20210731,7호선,고속터미널,8538,7107
239,20210731,7호선,내방,5858,5749
240,20210731,7호선,이수,8655,7980
241,20210731,7호선,남성,5832,5407
