,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210727,1호선,서울역,32732,30717
1,20210727,1호선,동묘앞,6045,6347
2,20210727,1호선,시청,18300,18110
3,20210727,1호선,종각,28168,27358
4,20210727,1호선,종로3가,20795,19008
5,20210727,1호선,종로5가,19006,18706
6,20210727,1호선,동대문,9531,8879
7,20210727,1호선,신설동,11932,11917
8,20210727,1호선,제기동,13900,14055
9,20210727,1호선,청량리(서울시립대입구),16566,16776
10,20210727,2호선,시청,19810,19404
11,20210727,2호선,을지로입구,31672,32038
12,20210727,2호선,을지로3가,18423,18237
13,20210727,2호선,을지로4가,11335,10978
14,20210727,2호선,동대문역사문화공원(DDP),9124,10182
15,20210727,2호선,신당,11805,12347
16,20210727,2호선,상왕십리,12137,11803
17,20210727,2호선,왕십리(성동구청),12715,10492
18,20210727,2호선,한양대,5751,5858
19,20210727,2호선,뚝섬,18332,19789
20,20210727,2호선,성수,31390,34048
21,20210727,2호선,건대입구,26362,28506
22,20210727,2호선,구의(광진구청),20336,20257
23,20210727,2호선,강변(동서울터미널),23902,22974
24,20210727,2호선,잠실나루,12028,11778
25,20210727,2호선,잠실(송파구청),52791,53021
26,20210727,2호선,잠실새내,17069,16964
27,20210727,2호선,종합운동장,5572,5931
28,20210727,2호선,삼성(무역센터),40705,40599
29,20210727,2호선,선릉,49013,43648
30,20210727,2호선,역삼,44430,48588
31,20210727,2호선,강남,70733,69415
32,20210727,2호선,교대(법원.검찰청),28357,31466
33,20210727,2호선,서초,18236,17455
34,20210727,2호선,방배,13423,14293
35,20210727,2호선,사당,28802,30838
36,20210727,2호선,낙성대(강감찬),23124,22735
37,20210727,2호선,서울대입구(관악구청),40007,39235
38,20210727,2호선,봉천,20810,19456
39,20210727,2호선,신림,54042,52724
40,20210727,2호선,신대방,22761,22322
41,20210727,2호선,구로디지털단지,51876,52555
42,20210727,2호선,대림(구로구청),20638,21038
43,20210727,2호선,신도림,39815,38405
44,20210727,2호선,문래,18392,18910
45,20210727,2호선,영등포구청,19886,19981
46,20210727,2호선,당산,15317,17722
47,20210727,2호선,합정,25120,25550
48,20210727,2호선,홍대입구,38268,39075
49,20210727,2호선,신촌,26181,27043
50,20210727,2호선,이대,10298,10589
51,20210727,2호선,아현,8673,8332
52,20210727,2호선,충정로(경기대입구),8483,8928
53,20210727,2호선,용답,2293,2169
54,20210727,2호선,신답,1352,1647
55,20210727,2호선,신설동,2648,2608
56,20210727,2호선,도림천,1190,1187
57,20210727,2호선,양천구청,5600,5982
58,20210727,2호선,신정네거리,8899,9315
59,20210727,2호선,용두(동대문구청),2058,2156
60,20210727,3호선,지축,3604,3549
61,20210727,3호선,구파발,17526,16601
62,20210727,3호선,연신내,31884,30258
63,20210727,3호선,불광,13915,14774
64,20210727,3호선,녹번,13296,12144
65,20210727,3호선,홍제,14538,13974
66,20210727,3호선,무악재,3394,3492
67,20210727,3호선,독립문,5836,5861
68,20210727,3호선,경복궁(정부서울청사),15093,14839
69,20210727,3호선,안국,15087,15428
70,20210727,3호선,종로3가,8825,10010
71,20210727,3호선,을지로3가,9025,9237
72,20210727,3호선,동대입구,5809,5943
73,20210727,3호선,약수,10891,10543
74,20210727,3호선,금호,6810,6505
75,20210727,3호선,옥수,7315,7740
76,20210727,3호선,압구정,27506,28942
77,20210727,3호선,신사,25613,26728
78,20210727,3호선,잠원,3795,3792
79,20210727,3호선,고속터미널,31528,29863
80,20210727,3호선,교대(법원.검찰청),11480,7507
81,20210727,3호선,남부터미널(예술의전당),24613,25396
82,20210727,3호선,양재(서초구청),32877,35601
83,20210727,3호선,매봉,11033,10469
84,20210727,3호선,도곡,4416,4473
85,20210727,3호선,대치,9943,9691
86,20210727,3호선,학여울,1420,1421
87,20210727,3호선,대청,8193,7532
88,20210727,3호선,일원,8307,8134
89,20210727,3호선,수서,13573,13816
90,20210727,3호선,가락시장,7596,7379
91,20210727,3호선,경찰병원,6452,6400
92,20210727,3호선,오금,5344,4853
93,20210727,4호선,수유(강북구청),29258,29315
94,20210727,4호선,미아(서울사이버대학),12538,12447
