,use_dt,line_num,sub_sta_nm,ride_pasgr_num,alight_pasgr_num
0,20210709,1호선,서울역,41401,40852
1,20210709,1호선,동묘앞,7652,7976
2,20210709,1호선,시청,20488,20612
3,20210709,1호선,종각,32656,32054
4,20210709,1호선,종로3가,24560,22723
5,20210709,1호선,종로5가,21036,21082
6,20210709,1호선,동대문,10653,9999
7,20210709,1호선,신설동,13566,13270
8,20210709,1호선,제기동,16837,17249
9,20210709,1호선,청량리(서울시립대입구),19329,19577
10,20210709,2호선,시청,21776,21226
11,20210709,2호선,을지로입구,36018,37042
12,20210709,2호선,을지로3가,20496,20902
13,20210709,2호선,을지로4가,12409,12302
14,20210709,2호선,동대문역사문화공원(DDP),10982,12129
15,20210709,2호선,신당,13181,13597
16,20210709,2호선,상왕십리,13707,13030
17,20210709,2호선,왕십리(성동구청),15182,12616
18,20210709,2호선,한양대,6523,6788
19,20210709,2호선,뚝섬,20544,22321
20,20210709,2호선,성수,34378,37742
21,20210709,2호선,건대입구,31292,33881
22,20210709,2호선,구의(광진구청),22747,22398
23,20210709,2호선,강변(동서울터미널),29302,29792
24,20210709,2호선,잠실나루,13678,13145
25,20210709,2호선,잠실(송파구청),59368,59211
26,20210709,2호선,잠실새내,19952,20149
27,20210709,2호선,종합운동장,6759,7130
28,20210709,2호선,삼성(무역센터),42339,43025
29,20210709,2호선,선릉,53621,47826
30,20210709,2호선,역삼,47526,52661
31,20210709,2호선,강남,81527,80012
32,20210709,2호선,교대(법원.검찰청),32560,37005
33,20210709,2호선,서초,20399,19977
34,20210709,2호선,방배,15331,15819
35,20210709,2호선,사당,33875,36206
36,20210709,2호선,낙성대(강감찬),26781,24798
37,20210709,2호선,서울대입구(관악구청),46113,44550
38,20210709,2호선,봉천,23396,21430
39,20210709,2호선,신림,60940,58139
40,20210709,2호선,신대방,25761,24514
41,20210709,2호선,구로디지털단지,58725,58949
42,20210709,2호선,대림(구로구청),23196,23748
43,20210709,2호선,신도림,46418,45508
44,20210709,2호선,문래,20813,21429
45,20210709,2호선,영등포구청,22408,22679
46,20210709,2호선,당산,18173,21093
47,20210709,2호선,합정,28763,30130
48,20210709,2호선,홍대입구,42987,44676
49,20210709,2호선,신촌,30965,31898
50,20210709,2호선,이대,12246,12372
51,20210709,2호선,아현,9998,9410
52,20210709,2호선,충정로(경기대입구),9565,10000
53,20210709,2호선,용답,2608,2527
54,20210709,2호선,신답,1551,1808
55,20210709,2호선,신설동,3066,2899
56,20210709,2호선,도림천,1359,1371
57,20210709,2호선,양천구청,6518,6871
58,20210709,2호선,신정네거리,10013,10422
59,20210709,2호선,용두(동대문구청),2447,2414
60,20210709,3호선,지축,4099,3948
61,20210709,3호선,구파발,19720,18757
62,20210709,3호선,연신내,35885,33629
63,20210709,3호선,불광,15856,16778
64,20210709,3호선,녹번,14903,13453
65,20210709,3호선,홍제,16673,15643
66,20210709,3호선,무악재,3790,3702
67,20210709,3호선,독립문,7039,6897
68,20210709,3호선,경복궁(정부서울청사),18504,18077
69,20210709,3호선,안국,18530,18926
70,20210709,3호선,종로3가,9679,11231
71,20210709,3호선,을지로3가,10042,10284
72,20210709,3호선,동대입구,7203,7437
73,20210709,3호선,약수,12880,12411
74,20210709,3호선,금호,7832,7287
75,20210709,3호선,옥수,8698,9055
76,20210709,3호선,압구정,30399,32152
77,20210709,3호선,신사,29033,30897
78,20210709,3호선,잠원,4668,4561
79,20210709,3호선,고속터미널,36064,39608
80,20210709,3호선,교대(법원.검찰청),14130,9016
81,20210709,3호선,남부터미널(예술의전당),27908,29524
82,20210709,3호선,양재(서초구청),38551,40496
83,20210709,3호선,매봉,12146,11749
84,20210709,3호선,도곡,5282,5365
85,20210709,3호선,대치,10418,10483
86,20210709,3호선,학여울,2501,2544
87,20210709,3호선,대청,10024,9158
88,20210709,3호선,일원,10012,9513
89,20210709,3호선,수서,17064,17647
90,20210709,3호선,가락시장,8721,8421
91,20210709,3호선,경찰병원,7151,7043
92,20210709,3호선,오금,5985,5400
93,20210709,4호선,수유(강북구청),32634,32619
94,20210709,4호선,미아(서울사이버대학),14742,14141
95,20210709,4호선,미아사거리,26653,26069
96,20210709,4호선,길음,19009,18162
97,20210709,4호선,성신여대입구(돈암),18820,18027
98,20210709,4호선,한성대입구(삼선교),13083,12276
99,20210709,4호선,혜화,28297,28038
100,20210709,4호선,동대문,19128,19586
101,20210709,4호선,동대문역사문화공원(DDP),13344,12479
102,20210709,4호선,충무로,24582,25485
103,20210709,4호선,명동,16290,16864
104,20210709,4호선,회현(남대문시장),21586,22990
105,20210709,4호선,서울역,10062,15321
106,20210709,4호선,숙대입구(갈월),12134,11827
107,20210709,4호선,삼각지,4790,5428
108,20210709,4호선,신용산,15225,16517
109,20210709,4호선,이촌(국립중앙박물관),6915,7671
110,20210709,4호선,동작(현충원),2268,2424
111,20210709,4호선,총신대입구(이수),18131,19700
112,20210709,4호선,사당,23275,19105
113,20210709,4호선,남태령,1471,1180
114,20210709,4호선,당고개,12689,11564
115,20210709,4호선,상계,18748,17445
116,20210709,4호선,노원,18114,20708
117,20210709,4호선,창동,24439,26154
118,20210709,4호선,쌍문,28976,26184
119,20210709,5호선,방화,6596,6293
120,20210709,5호선,개화산,5164,4918
121,20210709,5호선,김포공항,7347,6994
122,20210709,5호선,송정,6599,6128
123,20210709,5호선,마곡,10105,10002
124,20210709,5호선,발산,17996,18576
125,20210709,5호선,우장산,13964,13613
126,20210709,5호선,화곡,27383,25447
127,20210709,5호선,까치산,28192,26912
128,20210709,5호선,신정(은행정),13693,10807
129,20210709,5호선,목동,16228,17751
130,20210709,5호선,오목교(목동운동장앞),20993,23328
131,20210709,5호선,양평,7226,6995
132,20210709,5호선,영등포구청,3899,3873
133,20210709,5호선,영등포시장,9363,9612
134,20210709,5호선,신길,3902,4068
135,20210709,5호선,여의도,23845,25444
136,20210709,5호선,여의나루,8748,9485
137,20210709,5호선,마포,13575,13872
138,20210709,5호선,공덕,13481,14619
139,20210709,5호선,애오개,6844,6760
140,20210709,5호선,충정로(경기대입구),4631,4686
141,20210709,5호선,서대문,17756,18291
142,20210709,5호선,광화문(세종문화회관),27655,29424
143,20210709,5호선,종로3가,11203,11581
144,20210709,5호선,을지로4가,5675,6069
145,20210709,5호선,동대문역사문화공원(DDP),2558,3042
146,20210709,5호선,청구,3919,3534
147,20210709,5호선,신금호,6256,6345
148,20210709,5호선,행당,7934,6905
149,20210709,5호선,왕십리(성동구청),4501,5033
150,20210709,5호선,마장,5409,4912
151,20210709,5호선,답십리,15518,13922
152,20210709,5호선,장한평,17905,17639
153,20210709,5호선,군자(능동),10857,11845
154,20210709,5호선,아차산(어린이대공원후문),14288,13586
155,20210709,5호선,광나루(장신대),12327,11342
156,20210709,5호선,천호(풍납토성),17401,17474
157,20210709,5호선,강동,17995,16849
158,20210709,5호선,길동,7838,8186
159,20210709,5호선,굽은다리(강동구민회관앞),9546,9135
160,20210709,5호선,명일,8289,8602
161,20210709,5호선,고덕,9594,9380
162,20210709,5호선,상일동,15370,13648
163,20210709,5호선,둔촌동,8676,8700
164,20210709,5호선,올림픽공원(한국체대),4167,3573
165,20210709,5호선,방이,6559,6774
166,20210709,5호선,오금,3562,3512
167,20210709,5호선,개롱,6431,6661
168,20210709,5호선,거여,8427,8067
169,20210709,5호선,마천,6343,6156
170,20210709,5호선,강일,3173,3199
171,20210709,5호선,미사,14377,14533
172,20210709,5호선,하남풍산,4004,3956
173,20210709,5호선,하남시청(덕풍·신장),5348,5354
174,20210709,5호선,하남검단산,4702,4606
175,20210709,6호선,응암,17313,16876
176,20210709,6호선,역촌,3956,4552
177,20210709,6호선,불광,4265,4212
178,20210709,6호선,독바위,2645,2783
179,20210709,6호선,연신내,1,0
180,20210709,6호선,구산,7544,5576
181,20210709,6호선,새절(신사),12587,11652
182,20210709,6호선,증산(명지대앞),9753,9546
183,20210709,6호선,디지털미디어시티,13386,14422
184,20210709,6호선,월드컵경기장(성산),4353,4691
185,20210709,6호선,마포구청,14275,12647
186,20210709,6호선,망원,13485,14610
187,20210709,6호선,합정,12178,11993
188,20210709,6호선,상수,7246,7969
189,20210709,6호선,광흥창(서강),8683,8344
190,20210709,6호선,대흥(서강대앞),7954,8127
191,20210709,6호선,공덕,17815,17119
192,20210709,6호선,효창공원앞,6830,6200
193,20210709,6호선,삼각지,5891,5014
194,20210709,6호선,녹사평(용산구청),4688,4616
195,20210709,6호선,이태원,8378,8870
196,20210709,6호선,한강진,7041,8252
197,20210709,6호선,버티고개,1822,1880
198,20210709,6호선,약수,3596,3592
199,20210709,6호선,청구,3791,3975
200,20210709,6호선,신당,7827,8208
201,20210709,6호선,동묘앞,7661,7712
202,20210709,6호선,창신,3591,2833
203,20210709,6호선,보문,7196,6350
204,20210709,6호선,안암(고대병원앞),9050,8783
205,20210709,6호선,고려대(종암),7406,6940
206,20210709,6호선,월곡(동덕여대),10982,10793
207,20210709,6호선,상월곡(한국과학기술연구원),6145,5418
208,20210709,6호선,돌곶이,8595,7913
209,20210709,6호선,석계,11757,11893
210,20210709,6호선,태릉입구,5108,5700
211,20210709,6호선,화랑대(서울여대입구),11207,8684
212,20210709,6호선,봉화산(서울의료원),8629,8005
213,20210709,7호선,장암,2238,921
214,20210709,7호선,도봉산,8647,9990
