날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1995-01-01,108,-2.8,-5.9,1.1
1995-01-02,108,-1.1,-5.9,3.6
1995-01-03,108,0.9,-0.4,1.6
1995-01-04,108,0.2,-3.6,2.2
1995-01-05,108,-2.2,-4.7,1.3
1995-01-06,108,-3.1,-6.4,0.3
1995-01-07,108,3.6,-2.4,9.3
1995-01-08,108,6.7,3.5,10.3
1995-01-09,108,1.3,-5.2,7.3
1995-01-10,108,-5.4,-7.4,-1.8
1995-01-11,108,-5,-8.3,-1.3
1995-01-12,108,-3.2,-7.7,1.6
1995-01-13,108,-5.1,-7.4,-1.5
1995-01-14,108,-5.9,-9.4,-1.7
1995-01-15,108,-3.3,-8.1,1.9
1995-01-16,108,-0.4,-3.2,3.4
1995-01-17,108,-1.2,-4.5,3
1995-01-18,108,-1.3,-5.7,3
1995-01-19,108,-4.4,-8.1,-0.5
1995-01-20,108,-1.1,-4.9,3.6
1995-01-21,108,0.7,-1.8,2.8
1995-01-22,108,2.9,0.5,4.5
1995-01-23,108,0.6,-3.4,3.3
1995-01-24,108,-2.5,-5.1,0.6
1995-01-25,108,-0.9,-5.3,3
1995-01-26,108,-4.6,-7.9,0.5
1995-01-27,108,-5,-9.5,1
1995-01-28,108,-5.9,-9.3,-2.2
1995-01-29,108,-6.2,-9,-3.2
1995-01-30,108,-7,-11.1,-2.3
1995-01-31,108,-4.4,-8.3,0.5
1995-02-01,108,-3.8,-7.9,1.4
1995-02-02,108,-2.3,-7.3,3.9
1995-02-03,108,-1.5,-5.2,3
1995-02-04,108,-2.1,-5.1,1.6
1995-02-05,108,-3,-7.7,1.7
1995-02-06,108,-1.5,-6.6,3.4
1995-02-07,108,1.4,-3.7,7.3
1995-02-08,108,3.6,-1,8
1995-02-09,108,4.1,0.9,7
1995-02-10,108,3.6,-0.8,9.3
1995-02-11,108,3.6,-1,9.9
1995-02-12,108,3.5,0.7,6.3
1995-02-13,108,1.4,-1.8,5.3
1995-02-14,108,-0.2,-3.8,4.2
1995-02-15,108,0.5,-2.6,3.1
1995-02-16,108,-1,-4.9,3.4
1995-02-17,108,0.3,-4.3,5.9
1995-02-18,108,2.9,-2.6,9.8
1995-02-19,108,3.6,-1.1,9.4
1995-02-20,108,2.3,-0.9,7.2
1995-02-21,108,1.1,-3.1,6.2
1995-02-22,108,1.3,-3,6.8
1995-02-23,108,2.6,-1.7,8.3
1995-02-24,108,3.4,-1.6,8.7
1995-02-25,108,2.3,1,6.7
1995-02-26,108,1.8,-0.2,5.4
1995-02-27,108,3.1,-2.4,8
1995-02-28,108,3.8,0.2,6.7
1995-03-01,108,2.1,-1.1,6.9
1995-03-02,108,2.5,-1.6,6.9
1995-03-03,108,1.7,-1,4.8
1995-03-04,108,2,-1.1,6
1995-03-05,108,2.9,-2.5,8.8
1995-03-06,108,7.1,3.4,11.6
