날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1999-01-01,108,-1.5,-6.9,3.5
1999-01-02,108,2.7,-0.5,6.6
1999-01-03,108,1.9,-2.8,8.6
1999-01-04,108,2.5,-3,9.2
1999-01-05,108,3.6,-1.9,8.1
1999-01-06,108,3.3,-0.5,5.9
1999-01-07,108,-6,-8.6,-0.5
1999-01-08,108,-9.1,-11,-5.6
1999-01-09,108,-9.3,-12.2,-5.4
1999-01-10,108,-6.7,-10.8,-2.3
1999-01-11,108,-6.3,-9.1,-2.1
1999-01-12,108,-5.6,-8.9,-1.5
1999-01-13,108,-3.6,-7.2,0.7
1999-01-14,108,-3.3,-5.7,-0.2
1999-01-15,108,-2.4,-6,1.5
1999-01-16,108,-1.7,-5.2,3.2
1999-01-17,108,-1,-5.3,3.8
1999-01-18,108,1.8,-2.7,7.3
1999-01-19,108,2.8,-1.8,6.7
1999-01-20,108,-2.6,-5.5,1.5
1999-01-21,108,-0.6,-7.1,4.6
1999-01-22,108,5.1,2,7.3
1999-01-23,108,6.5,4.7,8.4
1999-01-24,108,7.5,4.2,12.4
1999-01-25,108,5,0.8,7.1
1999-01-26,108,3.8,-1.3,8.3
1999-01-27,108,4,-2.6,7.7
1999-01-28,108,-2.3,-5.8,0.8
1999-01-29,108,-5.4,-8.9,-1.1
1999-01-30,108,-5.6,-10.5,-0.5
1999-01-31,108,-1.1,-6.3,3.3
1999-02-01,108,2.5,-0.2,6.5
1999-02-02,108,-3.7,-8.4,-0.2
1999-02-03,108,-8.1,-12.3,-3.2
1999-02-04,108,-4.6,-9.6,0.4
1999-02-05,108,-1.3,-5.8,3.7
1999-02-06,108,-0.2,-4.8,4.9
1999-02-07,108,2.9,-1.4,8.1
1999-02-08,108,4.3,1.8,9.4
1999-02-09,108,2.1,-1.2,6.5
1999-02-10,108,1.2,-1.8,5.4
1999-02-11,108,0.1,-3.2,4.6
1999-02-12,108,-4.8,-7.1,-2.1
1999-02-13,108,-4.2,-8.3,0.7
1999-02-14,108,-1.9,-4.2,0.4
