날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1996-01-01,108,-3.2,-7.9,2.5
1996-01-02,108,0.2,-3.9,3.9
1996-01-03,108,-4.5,-8.5,5.5
1996-01-04,108,-5.4,-10.7,-0.1
1996-01-05,108,-0.1,-2.1,2
1996-01-06,108,4.5,1.6,9
1996-01-07,108,2.9,0.9,5
1996-01-08,108,-5.7,-9.4,1.8
1996-01-09,108,-6.5,-10.4,-1.6
1996-01-10,108,-4.3,-7.8,-0.2
1996-01-11,108,-3.1,-7.7,2.9
1996-01-12,108,0.5,-6.1,9.4
1996-01-13,108,2.9,-1.3,9.8
1996-01-14,108,3.8,2.9,5.1
1996-01-15,108,2,0.6,3.4
1996-01-16,108,-3.8,-7.4,0.6
1996-01-17,108,-4.9,-8.1,-1.3
1996-01-18,108,-3.9,-6.9,0.1
1996-01-19,108,-2.5,-6.3,1.7
1996-01-20,108,-0.8,-3.4,3.2
1996-01-21,108,-1,-4.1,2.9
1996-01-22,108,-0.8,-4.5,3.2
1996-01-23,108,-2.6,-5.6,0.2
1996-01-24,108,-4.3,-7.2,-0.4
1996-01-25,108,-6.1,-8.2,-2.6
1996-01-26,108,-5.6,-9.9,-0.3
1996-01-27,108,-1.9,-6,2.5
1996-01-28,108,1.5,-2.1,6.1
1996-01-29,108,-1.1,-4.9,3.2
1996-01-30,108,-6.2,-9.1,-3
1996-01-31,108,-7.8,-10.4,-2.3
1996-02-01,108,-8.7,-10.5,-4.7
1996-02-02,108,-9.5,-13.8,-4.7
1996-02-03,108,-5,-10.6,0.9
1996-02-04,108,-0.7,-3.8,2.7
1996-02-05,108,-6,-8.3,-0.1
1996-02-06,108,-6.6,-10.8,-2.1
1996-02-07,108,-4.4,-8.7,0
1996-02-08,108,-3.3,-6.8,1.3
1996-02-09,108,-5.9,-8.2,-2.5
1996-02-10,108,-4.6,-9,0.2
1996-02-11,108,-0.2,-5.3,4.4
1996-02-12,108,6.5,3.2,11.2
1996-02-13,108,8.3,4.3,14
1996-02-14,108,6.7,2.9,10.8
1996-02-15,108,1.2,-4,5.8
1996-02-16,108,-2.3,-6.6,2.8
1996-02-17,108,-2,-6.2,3.2
1996-02-18,108,-2.1,-5.1,3.1
1996-02-19,108,-3.4,-7.1,1.5
1996-02-20,108,-4.1,-7.5,0.3
1996-02-21,108,-3.8,-7.3,1.1
1996-02-22,108,-2.1,-6.6,3.2
1996-02-23,108,0.4,-3.6,5
1996-02-24,108,0.8,-4.5,6.8
1996-02-25,108,1.8,-1.2,5.9
1996-02-26,108,1.9,-2.3,7.5
1996-02-27,108,-1.4,-4.9,3.4
1996-02-28,108,-0.2,-5.5,5.2
1996-02-29,108,2.6,-0.9,6.1
1996-03-01,108,1.2,-2,5
1996-03-02,108,1.7,-2.6,7.3
1996-03-03,108,2.2,-2.5,7.6
1996-03-04,108,3.2,-0.3,8.4
1996-03-05,108,3.2,-1.2,9.2
1996-03-06,108,4.9,-0.7,10.1
1996-03-07,108,6,2.3,8.1
1996-03-08,108,3.1,0.5,6.9
1996-03-09,108,3.1,1.1,5.9
1996-03-10,108,2.7,-1.7,7.7
1996-03-11,108,1.7,-1,4.4
1996-03-12,108,0.9,-3.8,5.9
1996-03-13,108,2.1,-1.6,6.8
1996-03-14,108,8.6,5.9,12.6
1996-03-15,108,9.5,6.4,14.8
1996-03-16,108,6.3,3.9,10.4
1996-03-17,108,4.5,0.2,6.6
1996-03-18,108,1.9,-1.6,6
1996-03-19,108,1.8,-2.3,6.6
1996-03-20,108,5.1,-1.9,13.2
1996-03-21,108,5.5,3.8,8.9
1996-03-22,108,6.6,3.3,11.2
1996-03-23,108,6.8,2.6,12.4
1996-03-24,108,4.6,1.3,6.4
1996-03-25,108,4.4,0.7,9.9
1996-03-26,108,7.3,0.6,15.7
1996-03-27,108,8.8,4.3,14.5
1996-03-28,108,8.8,2.6,14.3
1996-03-29,108,11.2,6,17.5
1996-03-30,108,7.7,5.7,10.5
1996-03-31,108,5.9,3.7,8.2
1996-04-01,108,4.6,2,8.8
1996-04-02,108,3.3,-0.9,7.7
1996-04-03,108,3.9,0.1,8.6
1996-04-04,108,5.4,0.3,10.9
1996-04-05,108,8.5,4.1,15
1996-04-06,108,6.8,5.2,11.1
1996-04-07,108,8.3,6,12.1
1996-04-08,108,9.3,3.3,15.8
1996-04-09,108,9.8,5.3,15.2
1996-04-10,108,7.6,4.2,12.2
1996-04-11,108,6,1.6,10.9
1996-04-12,108,7.1,1.5,13
1996-04-13,108,8.1,1.8,14.1
1996-04-14,108,9.9,4.8,15.8
1996-04-15,108,9.9,4.6,16.1
1996-04-16,108,10.1,6.2,14.1
1996-04-17,108,9.5,5.9,11.9
1996-04-18,108,8.8,4.6,14
1996-04-19,108,9.4,3.8,15.5
1996-04-20,108,10.9,5.7,15.5
1996-04-21,108,10,5.9,15.4
1996-04-22,108,12.4,5.9,17.5
1996-04-23,108,13.8,7.8,19.4
1996-04-24,108,14.3,7.8,20
1996-04-25,108,16,11.9,20.6
1996-04-26,108,17.3,12,22.4
1996-04-27,108,17.5,14,23.3
1996-04-28,108,18.1,13.4,22.9
1996-04-29,108,15.7,13.3,18.7
1996-04-30,108,14.7,13.5,15.8
1996-05-01,108,14.4,11.1,17.1
1996-05-02,108,15.1,10.1,21.8
1996-05-03,108,17.8,11.1,25.4
1996-05-04,108,15.6,12.9,19.3
1996-05-05,108,14.9,10.1,20.4
1996-05-06,108,15.6,10.9,22.3
1996-05-07,108,16.8,12.8,23.7
1996-05-08,108,14.4,11.7,19.2
1996-05-09,108,14.4,10,19.1
1996-05-10,108,15.5,9.8,22.3
1996-05-11,108,15.3,12.3,19.5
1996-05-12,108,15.1,10.3,20.6
1996-05-13,108,16.6,11.2,21.8
1996-05-14,108,16.8,12.1,22.1
1996-05-15,108,19.7,12.5,27.3
1996-05-16,108,20.8,14,28.2
1996-05-17,108,22.3,14.2,29.5
1996-05-18,108,22.5,16.4,28.4
1996-05-19,108,18.8,14.5,24.2
1996-05-20,108,17.9,15.2,21.3
1996-05-21,108,16.8,13,21.5
1996-05-22,108,17.8,11.4,24.5
1996-05-23,108,19.7,13.4,26.8
1996-05-24,108,20.8,14.3,27.1
1996-05-25,108,20.6,14.8,27.1
1996-05-26,108,21,15.6,27.5
1996-05-27,108,20.7,15.1,28.7
1996-05-28,108,22.3,16.7,28.3
1996-05-29,108,23.4,18.9,28.6
1996-05-30,108,22.1,18.5,25.1
1996-05-31,108,23.6,16.9,31.4
1996-06-01,108,25.2,19.2,32.7
1996-06-02,108,23.3,19.6,28.1
1996-06-03,108,21,18.9,24.1
1996-06-04,108,21.8,16.7,28.5
1996-06-05,108,23.1,16.5,30.3
1996-06-06,108,23.3,16.6,29.8
1996-06-07,108,22.8,21.2,24.6
1996-06-08,108,24.6,20.5,31.4
1996-06-09,108,24.1,20.3,30.3
1996-06-10,108,20.1,19.6,21.7
1996-06-11,108,21.5,19.1,25.9
1996-06-12,108,23.4,18.1,28.7
1996-06-13,108,24.2,21.8,29.2
1996-06-14,108,22.6,20.2,26.4
1996-06-15,108,23.9,20.6,28.6
1996-06-16,108,24,21.2,28.4
1996-06-17,108,21.2,17.9,24
