날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1990-01-01,108,-1.7,-4,1.8
1990-01-02,108,-3.5,-5.7,-0.9
1990-01-03,108,-5,-7.2,-1.7
1990-01-04,108,-3.3,-8.9,2.1
1990-01-05,108,0.7,-2.4,2.1
1990-01-06,108,-3.2,-5.6,0.2
1990-01-07,108,-3.3,-7.8,2.5
1990-01-08,108,-0.2,-4.6,4.2
1990-01-09,108,5.6,2.8,7.8
1990-01-10,108,4.2,2.8,6.4
1990-01-11,108,2.9,1.7,3.8
1990-01-12,108,0.7,-3.8,3.1
1990-01-13,108,-4.5,-7.2,-1.7
1990-01-14,108,-3,-6.3,1.3
1990-01-15,108,-3.3,-5,-1.9
1990-01-16,108,-3.4,-7.9,1.4
1990-01-17,108,0.9,-3.3,5.7
1990-01-18,108,2.5,-4.1,5.2
1990-01-19,108,-5.6,-9.3,-2.4
1990-01-20,108,-7.6,-11.2,-3.6
1990-01-21,108,-4.5,-8.6,-0.8
1990-01-22,108,-9.2,-13.6,-1.3
1990-01-23,108,-11.5,-15.4,-7
1990-01-24,108,-13,-16.4,-10.5
1990-01-25,108,-14,-17.1,-10.6
1990-01-26,108,-11.4,-16.9,-5.4
1990-01-27,108,-6.6,-11.5,-2
1990-01-28,108,-0.8,-4.6,2.3
1990-01-29,108,2.2,1,4.6
1990-01-30,108,0.7,-1.8,1.6
1990-01-31,108,-1.1,-2.1,0.1
1990-02-01,108,-1.5,-2.6,0.2
1990-02-02,108,-1.7,-3.4,0.3
1990-02-03,108,-2,-4.8,1.2
1990-02-04,108,0,-1.7,1.6
1990-02-05,108,-0.5,-2.2,1.8
1990-02-06,108,-0.9,-3.4,2.7
1990-02-07,108,-0.8,-3.9,2.7
1990-02-08,108,0.8,-3.4,5.3
1990-02-09,108,3.2,-0.4,7.4
1990-02-10,108,2.5,0.8,3.9
1990-02-11,108,2.3,1.2,4.2
1990-02-12,108,0.1,-2.3,2.7
1990-02-13,108,-0.2,-5.2,4.7
1990-02-14,108,5.1,1.6,8.6
1990-02-15,108,4.9,3.5,6.4
1990-02-16,108,5.1,2.8,9.2
1990-02-17,108,5.6,0.7,10.5
1990-02-18,108,6.6,5.5,7.3
1990-02-19,108,6,2.6,7.5
1990-02-20,108,3.7,2.6,5
1990-02-21,108,6.6,1.8,11.2
1990-02-22,108,8,6.7,9.5
1990-02-23,108,7.1,5.8,8.2
1990-02-24,108,5.6,2.4,8.2
1990-02-25,108,0.6,-1.7,4
1990-02-26,108,-0.3,-4.5,5.2
1990-02-27,108,2.5,-3.3,9
1990-02-28,108,6.7,1.7,12.9
1990-03-01,108,7.1,2.7,12.5
1990-03-02,108,8,3.9,12.3
1990-03-03,108,7.3,4.9,12
1990-03-04,108,5.3,2.3,9.7
1990-03-05,108,4.3,-0.2,9.3
1990-03-06,108,5,0.9,10.1
1990-03-07,108,4.2,1.1,8
1990-03-08,108,3.5,-1.3,9.2
1990-03-09,108,4.8,-0.3,10.7
1990-03-10,108,9.3,4,15.5
1990-03-11,108,7.4,3.1,9.2
1990-03-12,108,5.4,0.8,10.1
1990-03-13,108,5.9,0.9,11.5
1990-03-14,108,6.1,4.7,7.8
