날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1991-01-01,108,0.8,-4.5,3.2
1991-01-02,108,-6.1,-7.9,-3.4
1991-01-03,108,-6.2,-9.7,-0.4
1991-01-04,108,-8.5,-10.8,-5.3
1991-01-05,108,-10.1,-12.8,-7
1991-01-06,108,-8,-12.9,-2.6
1991-01-07,108,-4.3,-7.4,-0.7
1991-01-08,108,-7.3,-11.1,-3.9
1991-01-09,108,-5.5,-10.6,-0.2
1991-01-10,108,-1.4,-4.1,1.7
1991-01-11,108,-3.2,-6.3,0.2
1991-01-12,108,-3.8,-6.8,0.3
1991-01-13,108,-6,-9.2,-2.7
1991-01-14,108,-6,-8.8,-2.3
1991-01-15,108,-3.1,-7.2,2.2
1991-01-16,108,1.1,-4.5,6.5
1991-01-17,108,-2.5,-5.3,3.3
1991-01-18,108,-3,-7.4,2.6
1991-01-19,108,-0.4,-5.5,6.4
1991-01-20,108,2.2,-4,9.7
1991-01-21,108,4.6,1.3,8.1
1991-01-22,108,2.9,0.6,4.6
1991-01-23,108,1.9,-2.1,7.2
1991-01-24,108,0.7,-0.1,2.1
1991-01-25,108,-1.4,-3.8,0.3
1991-01-26,108,-2.7,-6.8,1.7
1991-01-27,108,-2.7,-6.9,1.4
1991-01-28,108,-1.4,-6.3,4.8
1991-01-29,108,0,-4.9,5.6
1991-01-30,108,-0.4,-4.2,3.9
1991-01-31,108,-1.1,-4.7,3.6
1991-02-01,108,-2,-4.3,1.1
1991-02-02,108,-2.4,-6.6,2.5
1991-02-03,108,-0.9,-5.2,3.6
1991-02-04,108,-0.3,-4.3,1.1
1991-02-05,108,-2.9,-6.7,1.6
1991-02-06,108,0.3,-4.8,4.4
1991-02-07,108,2.4,-1.1,3.8
1991-02-08,108,-0.6,-4,4.1
1991-02-09,108,2.8,-2.9,8.4
1991-02-10,108,4.3,1.7,8.5
1991-02-11,108,2.5,0.5,5.8
1991-02-12,108,1.8,-2.5,7.1
1991-02-13,108,3.6,-0.4,10
1991-02-14,108,4.9,-0.6,12
1991-02-15,108,2.9,1.2,6
1991-02-16,108,2.1,-1.3,7.6
1991-02-17,108,0.5,-3.3,4.9
1991-02-18,108,0.9,-1,2.8
1991-02-19,108,-4.5,-7.6,-1
1991-02-20,108,-4.9,-9.2,-0.8
1991-02-21,108,-7.1,-10.1,-3.5
1991-02-22,108,-9.9,-12.4,-8.4
1991-02-23,108,-11.1,-15,-6.8
1991-02-24,108,-8,-13,-2.8
1991-02-25,108,-3.5,-9.3,2.4
1991-02-26,108,0.5,-3.7,4.4
1991-02-27,108,2.9,1.2,5.2
1991-02-28,108,1.1,-3.2,3.8
1991-03-01,108,-0.9,-6,5.2
1991-03-02,108,1.6,-3.4,6.4
1991-03-03,108,3.2,-1.2,8.4
1991-03-04,108,3.4,-2.3,10
1991-03-05,108,6,0.3,13
1991-03-06,108,5.2,0.5,11.1
1991-03-07,108,5.8,2,9
1991-03-08,108,1,-0.1,2
1991-03-09,108,1.4,-0.2,3.1
1991-03-10,108,2.4,0.7,4.1
1991-03-11,108,4.5,0.9,7.6
1991-03-12,108,4,0.4,8.6
1991-03-13,108,2.8,-1,7
1991-03-14,108,0.3,-3.8,4.5
1991-03-15,108,1.5,-2.5,5.9
1991-03-16,108,1.8,-0.3,5.8
1991-03-17,108,2.8,-2.2,8.4
1991-03-18,108,5.3,-0.9,11.4
1991-03-19,108,9.8,3.4,16.4
1991-03-20,108,11.1,6.9,14.8
1991-03-21,108,6.8,3.4,10.7
1991-03-22,108,7.2,2.2,13.9
1991-03-23,108,8.2,2.8,14
1991-03-24,108,10.2,4,17
1991-03-25,108,12.7,9.3,18.9
1991-03-26,108,9.8,2,15.8
1991-03-27,108,3.9,1.9,5.6
1991-03-28,108,7,3.6,11.8
1991-03-29,108,7,3.2,11.1
1991-03-30,108,5,0.4,9.9
1991-03-31,108,1.1,-1.9,6.4
1991-04-01,108,2.3,-3.4,8.4
1991-04-02,108,5.7,0,11.2
1991-04-03,108,8,4.8,13.9
1991-04-04,108,8.8,2.8,15
1991-04-05,108,9.5,2.6,15.8
1991-04-06,108,13.3,6.8,19.5
1991-04-07,108,16.2,9.8,24.1
1991-04-08,108,15.2,9.2,22.7
1991-04-09,108,16,9.1,23.6
1991-04-10,108,17.2,12.3,22.4
1991-04-11,108,19.2,11.7,25.6
1991-04-12,108,17.2,13.4,23.1
1991-04-13,108,12.7,10,14.7
1991-04-14,108,11.4,7.3,16.6
1991-04-15,108,11.7,7.8,15.6
1991-04-16,108,13.2,5.6,21.9
1991-04-17,108,12.7,7.9,19.7
1991-04-18,108,12.6,10,17.1
1991-04-19,108,11.6,6.2,17.7
1991-04-20,108,11.9,6.4,17.3
1991-04-21,108,11.8,5.9,18.8
1991-04-22,108,14.3,7.8,20.1
1991-04-23,108,16.4,8.5,23.6
1991-04-24,108,17.1,12.9,22.3
1991-04-25,108,14.8,9,19.8
1991-04-26,108,12.4,5.9,18.9
1991-04-27,108,14.1,6.7,21.4
1991-04-28,108,14.8,9.6,21.5
1991-04-29,108,15.3,11.1,20.4
1991-04-30,108,13,9,19.2
1991-05-01,108,11.1,8,14.9
1991-05-02,108,11.6,7.6,16
1991-05-03,108,13.2,7.6,19.6
1991-05-04,108,13.6,7.4,20.1
1991-05-05,108,16.1,7.5,24.7
1991-05-06,108,14.1,11.7,17.2
1991-05-07,108,14.4,12.2,19.5
1991-05-08,108,14.2,11.2,18.1
1991-05-09,108,17,12.4,22.9
1991-05-10,108,18.1,13.9,23.4
1991-05-11,108,18,12,23
1991-05-12,108,17,13,23
1991-05-13,108,17.1,13.1,23.5
1991-05-14,108,19.1,11.1,26.8
1991-05-15,108,18.3,12,24.6
1991-05-16,108,13.8,11.2,17.2
1991-05-17,108,16.4,11.1,22.2
