날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1930-01-01,108,-1.6,-6.9,2.9
1930-01-02,108,0.6,-3.3,3.3
1930-01-03,108,-2.8,-6.4,1.6
1930-01-04,108,-11,-13.4,-5.8
1930-01-05,108,-11.6,-16.1,-6.9
1930-01-06,108,-12.2,-17.4,-7.8
1930-01-07,108,-9.8,-16.8,-5.3
1930-01-08,108,-9.8,-13.6,-5.5
1930-01-09,108,-10.5,-16,-5.2
1930-01-10,108,-4.5,-11.5,0.9
1930-01-11,108,-4.2,-8.3,0.7
1930-01-12,108,-6.4,-12.5,-0.7
1930-01-13,108,-5.6,-14.4,0.2
1930-01-14,108,-2.4,-5.2,2.5
1930-01-15,108,-3.9,-10.1,1.4
1930-01-16,108,-3.3,-7.6,2.4
1930-01-17,108,-4.3,-11.7,1.6
1930-01-18,108,-4.3,-8.4,0.1
1930-01-19,108,-7.9,-13.8,-1.9
1930-01-20,108,-6.6,-14.3,0.7
1930-01-21,108,-3.7,-12.7,3.1
1930-01-22,108,-1.6,-4.2,3.6
1930-01-23,108,-2.8,-9.2,1.4
1930-01-24,108,-3.4,-7.4,0.8
1930-01-25,108,-4.3,-9.9,2.1
1930-01-26,108,-4,-10.6,1.3
1930-01-27,108,2.2,-4.3,8.6
1930-01-28,108,0.3,-1.6,2
1930-01-29,108,-0.3,-5.4,5.1
1930-01-30,108,0.3,-2.9,5.2
1930-01-31,108,-1.2,-6.1,4.4
1930-02-01,108,-3.1,-6.7,1.2
1930-02-02,108,-4.9,-11.1,1.4
1930-02-03,108,-3.7,-11.3,4.2
1930-02-04,108,1.5,-7.8,8.4
1930-02-05,108,4.2,1.4,7.4
1930-02-06,108,0,-4.9,3.7
1930-02-07,108,-3.4,-10.1,4.2
1930-02-08,108,-1.7,-9.6,8.1
1930-02-09,108,0.1,-3.9,4.9
1930-02-10,108,-3,-6.6,2.6
1930-02-11,108,-5.6,-10.4,-0.1
1930-02-12,108,-3.9,-11.1,2.9
1930-02-13,108,-1.4,-8.7,5.5
1930-02-14,108,0.9,-7.5,7.7
1930-02-15,108,0.4,-6.4,7.6
1930-02-16,108,-2.3,-4.7,3.3
1930-02-17,108,-1.7,-11,6.1
1930-02-18,108,4.5,-1.6,9.5
1930-02-19,108,4.2,-0.2,9.3
1930-02-20,108,2.6,-4.1,11.2
1930-02-21,108,5,-0.3,8.1
1930-02-22,108,9.3,4.4,15.8
1930-02-23,108,8.7,5.9,11
1930-02-24,108,4.6,1.7,9.3
1930-02-25,108,3.5,0.3,7.3
1930-02-26,108,2.1,0,4.9
1930-02-27,108,3.7,0,6.2
1930-02-28,108,3.6,1.4,9.9
1930-03-01,108,3.7,-1.6,6.9
1930-03-02,108,4.8,2,6.1
1930-03-03,108,4.9,1.4,7.8
1930-03-04,108,5.9,0.7,11.1
1930-03-05,108,5,1.7,8.8
1930-03-06,108,4,1,8.5
1930-03-07,108,2.2,-1.1,6.1
1930-03-08,108,3.1,-0.8,8.5
1930-03-09,108,2.8,-3.5,9.4
1930-03-10,108,4,-2.6,12.4
1930-03-11,108,5.6,-2.4,12.9
1930-03-12,108,5.5,1.6,8.6
1930-03-13,108,5.5,1.9,7.1
1930-03-14,108,6.8,1.3,12.7
1930-03-15,108,5.3,3.1,7.4
1930-03-16,108,6.2,-0.2,14.5
1930-03-17,108,4.1,-0.6,12.7
1930-03-18,108,3.6,-3,9.3
1930-03-19,108,6,0.3,12.6
1930-03-20,108,6.5,-0.6,14.1
1930-03-21,108,6.2,-0.6,14.1
1930-03-22,108,7.1,1.4,14
1930-03-23,108,9.4,-0.1,17.1
1930-03-24,108,11.9,6.8,16.6
1930-03-25,108,11.7,7.1,17.2
1930-03-26,108,12.8,5,21.1
1930-03-27,108,14.3,8.4,20.2
1930-03-28,108,10.6,6.6,14
1930-03-29,108,5.1,1,10.3
1930-03-30,108,4.8,-0.6,10.2
1930-03-31,108,4.8,-1.4,11.7
1930-04-01,108,5.4,1.3,10.3
1930-04-02,108,6.7,0.1,14.1
1930-04-03,108,8.7,2.4,15.3
1930-04-04,108,10.5,4,18.3
1930-04-05,108,11.5,3,21
1930-04-06,108,11.9,5.1,20
1930-04-07,108,12,5.6,19.9
1930-04-08,108,12,8.1,17.9
1930-04-09,108,13.7,3.5,23.4
1930-04-10,108,12.8,11.2,15.6
1930-04-11,108,11.3,9.5,14.2
1930-04-12,108,12,5.6,19.1
1930-04-13,108,11.1,6.2,18.3
1930-04-14,108,12,4.4,18.8
1930-04-15,108,12.1,6,21.2
1930-04-16,108,12.4,4,21.6
1930-04-17,108,13.5,7.8,19.5
1930-04-18,108,15.3,6.8,24.3
1930-04-19,108,17.1,10.1,23.4
1930-04-20,108,12.9,10.9,19.5
1930-04-21,108,12,5.6,19.3
1930-04-22,108,13.8,5.9,20.7
1930-04-23,108,14.2,11.6,18.4
1930-04-24,108,14.9,12.5,18
1930-04-25,108,14.7,11.1,20.9
1930-04-26,108,12.9,5,20.7
1930-04-27,108,15.9,7,23.9
1930-04-28,108,14.2,11.8,17.8
1930-04-29,108,13.5,10.5,16.3
1930-04-30,108,13.4,9.7,16.2
1930-05-01,108,15.1,11.2,21
1930-05-02,108,12.3,9.1,17.6
1930-05-03,108,14.2,7.1,21.3
1930-05-04,108,12.1,10.2,15.2
1930-05-05,108,11,7.9,13.5
1930-05-06,108,12.2,7.7,18.8
1930-05-07,108,13.7,6,21.3
1930-05-08,108,16.6,10.1,22.9
1930-05-09,108,18.2,14.4,25.2
1930-05-10,108,13,10.8,18
1930-05-11,108,14.1,7.4,21.5
1930-05-12,108,16.4,7.9,25.5
1930-05-13,108,17.8,9.6,27.1
1930-05-14,108,19.2,11.4,29.2
1930-05-15,108,19.8,11,29.5
1930-05-16,108,17.1,11.4,23.1
1930-05-17,108,20,14.9,27.3
1930-05-18,108,20.1,12.5,27.8
1930-05-19,108,17.2,14.2,19
1930-05-20,108,17.1,11,24.7
1930-05-21,108,17.1,9.4,24
1930-05-22,108,16.4,13.7,19
1930-05-23,108,15.5,7.6,23.6
1930-05-24,108,16.1,9,24.5
1930-05-25,108,17,9.6,25.4
1930-05-26,108,18.7,9.1,28.3
1930-05-27,108,18.4,11.2,26.3
1930-05-28,108,18.9,14,24.9
1930-05-29,108,19.8,13.6,26.6
1930-05-30,108,20.5,15.5,27.1
1930-05-31,108,21.3,15.7,26.8
1930-06-01,108,18,15.5,22.4
1930-06-02,108,20,16.6,26.2
1930-06-03,108,19.9,12,27.9
1930-06-04,108,21.3,16,27.6
1930-06-05,108,19.2,15.6,25.1
1930-06-06,108,16.7,12.2,22.2
1930-06-07,108,16.7,11,23.6
1930-06-08,108,19.1,12.7,25.3
1930-06-09,108,20,12.2,28.5
1930-06-10,108,20.5,11.5,30.2
1930-06-11,108,21.3,12.8,29.9
1930-06-12,108,22.9,13.9,32.4
1930-06-13,108,24.8,16.9,34.2
1930-06-14,108,22.8,19.2,26.5
1930-06-15,108,22.1,18.9,26.2
1930-06-16,108,21.7,15.2,28.4
