날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1993-01-01,108,-0.3,-5,4.8
1993-01-02,108,2.8,1.1,5.1
1993-01-03,108,0.8,-5.7,4.8
1993-01-04,108,-3.8,-7.9,0.9
1993-01-05,108,-2.3,-7.1,3
1993-01-06,108,-0.2,-3.2,3.3
1993-01-07,108,1,-1.2,2.9
1993-01-08,108,0.8,-2,4.7
1993-01-09,108,3.6,1.6,6.2
1993-01-10,108,0.7,-2.6,3.5
1993-01-11,108,-2.9,-5.6,0.6
1993-01-12,108,-2.5,-7.1,2.8
1993-01-13,108,-0.7,-3.3,2.3
1993-01-14,108,-0.1,-1.9,1.6
1993-01-15,108,-2.9,-7.4,-0.2
1993-01-16,108,-5.2,-8.6,-1.5
1993-01-17,108,-4.1,-6.6,-1
1993-01-18,108,-7.5,-10,-4.6
1993-01-19,108,-7.9,-11.1,-4.2
1993-01-20,108,-7.6,-10.8,-3.4
1993-01-21,108,-5.9,-10.1,-1.3
1993-01-22,108,-3.3,-8.6,2.4
1993-01-23,108,-0.5,-3.5,3.7
1993-01-24,108,1.2,-5.1,8.4
1993-01-25,108,2.2,-0.2,5.5
1993-01-26,108,0.3,-3.6,4.3
1993-01-27,108,-5.3,-7.4,-3.2
1993-01-28,108,-6.5,-10.6,-2.2
1993-01-29,108,-4.3,-9,0.4
1993-01-30,108,-1,-6,3.9
1993-01-31,108,1.6,-2.2,4.9
1993-02-01,108,-1.9,-4.7,2.6
1993-02-02,108,-1.2,-6.3,5.4
1993-02-03,108,0.8,-3.9,5.3
1993-02-04,108,4.2,1.8,7.9
1993-02-05,108,7.2,3.3,11.5
1993-02-06,108,10.4,4.8,14.2
1993-02-07,108,-1.4,-5.5,4.8
1993-02-08,108,-4.5,-8.3,-0.7
1993-02-09,108,-1.8,-5.6,2.2
1993-02-10,108,0.1,-5.5,5.5
1993-02-11,108,2.2,-1.5,6
1993-02-12,108,1.2,-4.3,7.1
1993-02-13,108,1,-2.4,5.1
